rt_id,wd_id,title,series_qid,series_label,franchise_qid,franchise_label,bom_id,imdb_id,tmdb_id,budget,budget_currency_qid,budget_currency,budget_asof,budget_source,revenue,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,imdb_budget,imdb_box_office_value,tmdb_budget,tmdb_box_office_value,id,index_in_series,index_in_franchise,n_films_in_series,n_films_in_franchise,roi_multiple,success_category
m/ghostbusters,Q108745,Ghostbusters,,,Q2365168,Ghostbusters,ghostbusters,tt0087332,620.0,30000000.0,Q4917,,,P2130,295200000.0,Q4917,,,,,Ghostbusters (1984 Original),"After the members of a team of scientists (Harold Ramis, Dan Aykroyd, Bill Murray) lose their cushy positions at a university in New York City, they decide to become ""ghostbusters"" to wage a high-tech battle with the supernatural for money. They stumble upon a gateway to another dimension, a doorway that will release evil upon the city. The Ghostbusters must now save New York from complete destruction.","An infectiously fun blend of special effects and comedy, with Bill Murray's hilarious deadpan performance leading a cast of great comic turns.",PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",Ivan Reitman,"Harold Ramis, Dan Aykroyd, Peter Torokvei","Bill Murray, Dan Aykroyd, Harold Ramis, Sigourney Weaver, Ernie Hudson, Rick Moranis, William Atherton, Annie Potts, David Margulies, Slavitza Jovan, Michael Ensign, Steven Tash, Jennifer Runyon, Alice Drummond, Jordan Charney, Timothy Carhart, John Rothman, Roger Grimsby, Larry King, Joe Franklin, Casey Kasem, Norman Matlock, Joe Cirillo, Joe Schmieg, Tom McDermott, Reginald VelJohnson, Rhoda Gemignani, Murray Rubin, Larry Dilg, Danny Stone, Patty Dworkin, Jean Kasem, Lenny Del Genio, Frances E. Nealy, Sam Moses, Christopher Wynkoop, Winston May, Tommy Hollis, Eda Reiss Merin, Ric Mancini, Kathryn Janssen, Paul Trafas, Cheryl Birchfield, Ruth Oliver, Kym Herrin, Kymberly Herrin, Nancy Kelly, Frantz Turner, John Ring, Paddi Edwards, James Hardie, Carol Henry, Jason Reitman, Stanley Grover",1984-06-08,2012-04-16,107.0,Columbia Pictures,Certified-Fresh,97.0,73.0,Upright,88.0,1039692.0,14,71,2,30000000.0,296187079.0,30000000.0,296187079.0,620.0,,0.0,,3.0,9.84,Blockbuster
m/karate_kid,Q846679,The Karate Kid,Q3987783,The Karate Kid,,,karatekid,tt0087538,1885.0,8000000.0,,,,,130442786.0,,,,,,The Karate Kid,"Daniel (Ralph Macchio) moves to Southern California with his mother, Lucille (Randee Heller), but quickly finds himself the target of a group of bullies who study karate at the Cobra Kai dojo. Fortunately, Daniel befriends Mr. Miyagi (Noriyuki ""Pat"" Morita), an unassuming repairman who just happens to be a martial arts master himself. Miyagi takes Daniel under his wing, training him in a more compassionate form of karate and preparing him to compete against the brutal Cobra Kai.","Utterly predictable and wholly of its time, but warm, sincere, and difficult to resist, due in large part to Pat Morita and Ralph Macchio's relaxed chemistry.",PG,"Drama, Kids & Family",John G. Avildsen,Robert Mark Kamen,"Ralph Macchio, Noriyuki 'Pat' Morita, Elisabeth Shue, Martin Kove, Randee Heller, William Zabka, Ron Thomas, Rob Garrison, Dana Anderson, Chad McQueen, Brian Davies, Tony O'Dell, Israel Juarbe, William H. Bassett, Larry B. Scott, Juli Fields, Dana Andersen, Frank Burt Avalon, Jeff Fishman, Ken Daly, Tom Fridley, Pat E. Johnson, Bruce Malmuth, Darryl Vidal, Frances Bay, Christopher Kriesa, Bernie Kuby, Joan Lemmo, Helen Siff, Molly Basler, Larry Drake, Brian Davis, David DeLange, Erik Felix, Peter Jason, Todd Lookinland, Clarence McGee Jr., Sam Scarber, William Norren, Scott Strader",1984-06-22,2012-04-16,126.0,Columbia Pictures,Certified-Fresh,89.0,44.0,Upright,82.0,316502.0,6,39,5,8000000.0,130442786.0,8000000.0,130442786.0,1885.0,0.0,,5.0,,16.30534825,Blockbuster
m/muppets_take_manhattan,Q1214915,The Muppets Take Manhattan,Q108273055,The Muppets,,,muppetstakemanhattan,tt0087755,11899.0,8000000.0,Q4917,,,P2130,25500000.0,,,,,,The Muppets Take Manhattan,"When Kermit the Frog and friends start a stage act, they decide to take the show from their college town to Broadway. However, once the Muppets wind up in New York City, they have difficulty finding financial support for the production, instead running into cheats like Murray Plotsky (Dabney Coleman). Unable to stage the show, the group splits up, and they all take different jobs around the country. Just as Kermit thinks he has finally found a backer, an accident gives him amnesia.","If it's not quite as sharp as The Muppet Movie, The Muppets Take Manhattan is still a smart, delightfully old-fashioned tale that follows the formula established by the first two movies -- a madcap adventure assisted by a huge group of human stars.",G,"Comedy, Kids & Family, Musical & Performing Arts",Frank Oz,"Frank Oz, Tom Patchett, Jay Tarses","Juliana Donald, Lonny Price, Louis Zorich, Dave Goelz, Jim Henson, Frank Oz, David Goetz, Steve Whitmire, Richard Hunt, Jerry Nelson, Karen Prell, Dabney Coleman, Joan Rivers, Brian Muehl, Bruce Edward Hall, Linda Lavin, Liza Minnelli, David Rudman, Brooke Shields, Ed Koch, James Coco, Glenngo King, Art Carney, Elliott Gould, Gregory Hines, Ron Foster, Kathryn Mullen, Gates McFadden, John Bentley, Hector Troy, Norman Bush, Graham Brown, Don Quigley, Gary Tacon, Joe Jamrog, Michael Hirsch, Vic Polizos, Alice Spivak, Wade Barnes, Jane Hunt, Milton Seaman, Sandra Bernhard, John McGuire",1984-07-13,2013-04-26,94.0,Sony Pictures Home Entertainment,Fresh,83.0,23.0,Upright,76.0,46691.0,4,19,4,8000000.0,25500000.0,8000000.0,25500000.0,11899.0,2.0,,8.0,,3.1875,Blockbuster
m/the_neverending_story_1984,Q316555,The NeverEnding Story,Q27959298,The NeverEnding Story,,,neverendingstory,tt0088323,34584.0,27000000.0,Q4917,,,P2130,20158808.0,Q4917,,,,,The Neverending Story,"On his way to school, Bastian (Barret Oliver) ducks into a bookstore to avoid bullies. Sneaking away with a book called ""The Neverending Story,"" Bastian begins reading it in the school attic. The novel is about Fantasia, a fantasy land threatened by ""The Nothing,"" a darkness that destroys everything it touches. The kingdom needs the help of a human child to survive. When Bastian reads a description of himself in the book, he begins to wonder if Fantasia is real and needs him to survive.","A magical journey about the power of a young boy's imagination to save a dying fantasy land, The NeverEnding Story remains a much-loved kids adventure.",PG,"Kids & Family, Science Fiction & Fantasy",Wolfgang Petersen,"Herman Weigel, Wolfgang Petersen","Noah Hathaway, Barret Oliver, Tami Stronach, Gerald McRaney, Moses Gunn, Patricia Hayes, Sydney Bromley, Drum Garrett, Darryl Cooksey, Nicholas Gilbert, Thomas Hill, Deep Roy, Tilo Prückner, Alan Oppenheimer",1984-07-20,2009-01-01,92.0,Warner Home Video,Certified-Fresh,80.0,41.0,Upright,81.0,374249.0,5,33,8,27000000.0,20158808.0,27000000.0,20158808.0,34584.0,0.0,,2.0,,0.7466225185185185,Flop
m/terminator,Q162255,The Terminator,Q98063049,Terminator,Q620588,Terminator,terminator,tt0088247,218.0,6400000.0,Q4917,,,P2130,38371200.0,Q4917,,,,,The Terminator,"Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill Sarah Connor (Linda Hamilton). Sent to protect Sarah is Kyle Reese (Michael Biehn), who divulges the coming of Skynet, an artificial intelligence system that will spark a nuclear holocaust. Sarah is targeted because Skynet knows that her unborn son will lead the fight against them. With the virtually unstoppable Terminator in hot pursuit, she and Kyle attempt to escape.","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks.",R,"Action & Adventure, Science Fiction & Fantasy",James Cameron,"William Wisher Jr., James Cameron, Gale Anne Hurd","Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield, Lance Henriksen, Rick Rossovich, Bess Motta, Earl Boen, Dick Miller, Shawn Schepps, Franco Columbu, Stanzi Stokes, Bill Paxton, Bruce M. Kerner, Brad Reardon, Brian Thompson, William Wisher Jr., Ken Fritz, Tom Oberhaus, Ed Dogans, Joe Farago, Hettie Lynne Hurtes, Tony Mirelez, Philip Gordon, Anthony T. Trujillio, Stan Yale, Al Kahn, Leslie Morris, Hugh Farrington, Harriet Medin, Loree Frazier, James Ralston, Norman Friedman, Ken Foree, Barbara Powers, Wayne Stone, David Hyde Pierce, John Bristol, Webster Williams, Patrick Pinney, Bill W. Richmond, Chino ""Fats"" Williams, Gregory Robbins, Marianne Muellerleile, John Durban",1984-10-26,2015-07-05,108.0,Orion Pictures Corporation,Certified-Fresh,100.0,64.0,Upright,89.0,776580.0,14,64,0,6400000.0,78371200.0,6400000.0,78371200.0,218.0,0.0,0.0,6.0,6.0,5.9955,Blockbuster
m/nightmare_on_elm_street,Q329434,A Nightmare on Elm Street,Q617871,A Nightmare on Elm Street,,,elmst,tt0087800,377.0,1800000.0,Q4917,,,P2130,57000000.0,,,,,,A Nightmare on Elm Street,"In Wes Craven's classic slasher film, several Midwestern teenagers fall prey to Freddy Krueger (Robert Englund), a disfigured midnight mangler who preys on the teenagers in their dreams -- which, in turn, kills them in reality. After investigating the phenomenon, Nancy (Heather Langenkamp) begins to suspect that a dark secret kept by her and her friends' parents may be the key to unraveling the mystery, but can Nancy and her boyfriend Glen (Johnny Depp) solve the puzzle before it's too late?","Wes Craven's intelligent premise, combined with the horrifying visual appearance of Freddy Krueger, still causes nightmares to this day.",R,"Horror, Mystery & Suspense",Wes Craven,Wes Craven,"Robert Englund, Heather Langenkamp, John Saxon, Ronee Blakely, Amanda Wyss, Nick Corri, Johnny Depp, Charles Fleischer, Joe Whipp, Joseph Whipp, Mimi Craven, Jack Shea, Ed Call, Edward Call, Mimi Meyer-Shaye, Sandy Lipton, Joe Unger, David Andrews, Jeff Levine, Donna Woodrum, Shashawnee Hall, Carol Pritikin, Brian Reise, Don Hannah, Lin Shaye",1984-11-16,2014-07-24,91.0,New Line Cinema,Certified-Fresh,94.0,53.0,Upright,83.0,415582.0,7,50,3,1100000.0,57000000.0,1100000.0,57000000.0,377.0,0.0,,8.0,,31.666666666666668,Blockbuster
m/supergirl,Q283134,Supergirl,Q2158362,Superman in film,,,supergirl,tt0088206,9651.0,35000000.0,Q4917,,,P2130,14296438.0,Q4917,,,,,Supergirl,"Kara (Helen Slater) of Argo City poses as Clark Kent's cousin, Linda Lee, to recover the Omegahedron from a witch (Faye Dunaway).","The effects are cheesy and Supergirl's wide-eyed, cheery heroine simply isn't interesting to watch for an hour and a half.",PG,"Action & Adventure, Science Fiction & Fantasy",Jeannot Szwarc,David Odell,"Helen Slater, Faye Dunaway, Peter O'Toole, Mia Farrow, Brenda Vaccaro, Peter Cook, Simon Ward, Marc McClure, Hart Bochner, Maureen Teefy, David Healy, Robyn Mandell, Jennifer Landor, Jenifer Landor, Diana Ricardo, Nancy Lippold, Sonya Leite, Linsey Beauchamp, Michelle Taylor, Nancy Wood, Virginia Greig, Julia Lewis, Matt Frewer, Bill McAllister, Sally Cranfield, Martin Serene, Keith Edwards, Bradley Lavelle, Carole Charnow, Shezwae Powell, Glory Annen, Sandy Martin, Sandra Dickinson, Martha Parsey, Kelly Hunter, Ter Battenburg, Richard Bidwell, Christian Fletcher, Karen Hale, Beulah Hughes, Mike Pearce, Kevin Scott, James Snell, Jane Sumner, Bailie Walsh, Elaine Ives-Cameron, Gay Baynes, Fred Lee Own, Edwin Van Wyk, Orla Pederson, Joe Cremona, April Olrich, Erick Ray Evans, Zoot Money, Ron Travis, Russell Sommers, Dulcie Huston, David Graham",1984-11-21,2016-05-10,124.0,TriStar Pictures,Rotten,9.0,32.0,Spilled,26.0,49240.0,6,3,29,35000000.0,14296438.0,35000000.0,14296438.0,9651.0,3.0,,6.0,,0.40846965714285716,Flop
m/beverly_hills_cop,Q722267,Beverly Hills Cop,Q3222883,Beverly Hills Cop,Q105093737,Beverly Hills Cop,beverlyhillscop,tt0086960,90.0,14000000.0,Q4917,,,P2130,316360478.0,Q4917,,,,,Beverly Hills Cop,"After his childhood buddy is murdered while visiting Detroit, rebellious cop Axel Foley (Eddie Murphy) follows the leads to Beverly Hills, Calif., under the auspices of a vacation. He checks in with old friend Jenny Summers (Lisa Eilbacher) and starts to believe her boss, art dealer Victor Maitland (Steven Berkoff), might somehow be involved in the murder. However, Lt. Bogomil (Ronny Cox) of the Beverly Hills Police Department does not trust Foley, and hinders his search for evidence.","The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.",R,"Action & Adventure, Comedy, Mystery & Suspense",Martin Brest,"Daniel Petrie Jr., William D. Wittliff, Sam Simon, Vincent Patrick, Martin Brest","Eddie Murphy, Judge Reinhold, John Ashton, Lisa Eilbacher, Ronny Cox, Steven Berkoff, Bronson Pinchot, James Russo, Jonathan Banks, Stephen Elliott, Gil Hill, Art Kimbro, Joel Bailey, Paul Reiser, Michael Champion, Frank Pesce, Gene Borkan, Alice Cadogan, Philip Levien, Karen Mayo-Chandler, Gerald Berns, William A. Wallace, Israel Juarbe, Randy Gallion, Damon Wayans, Chuck Adamson, Chip Heller, Rick Overton, Rex Ryon, Michael Pniewski, Douglas Warhit, Paul Drake, Tom Everett, Sally Kishbaugh, Barry Shade, Jack Heller, Michael Harrington, David Wells, Scott Murphy, Dennis Madden, John Achorn, John Pettis, Nick Shields, Carl Weintraub, Anthony De Fonte, Darwyn Carson, Mark E. Corry, Thomas J. Hageboeck, Gilbert R. Hill",1984-12-01,2014-06-06,105.0,Paramount Pictures,Certified-Fresh,82.0,51.0,Upright,82.0,377609.0,8,42,9,14000000.0,316360478.0,14000000.0,316360478.0,90.0,0.0,0.0,3.0,3.0,22.597177,Blockbuster
m/black_cauldron,Q329316,The Black Cauldron,Q56070713,Walt Disney Animation Studios film,,,blackcauldron,tt0088814,10957.0,36000000.0,Q4917,,,P2130,21288692.0,Q4917,,,,,The Black Cauldron,"In the land of Prydain, lowly pig herder Taran (Grant Bardsley) dreams of becoming a gallant knight. Young Taran receives his heroic calling when the evil Horned King (John Hurt) kidnaps Hen-Wren, a prophesying pig that had been entrusted to Taran. Now, with help from his furry sidekick Gurgi and Princess Eilonwy, Taran must locate the magical black cauldron before the Horned King is able to use its mystical powers to summon an army of the undead.","Ambitious but flawed, The Black Cauldron is technically brilliant as usual, but lacks the compelling characters of other Disney animated classics.",PG,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy","Ted Berman, Richard Rich","Ted Berman, Ron Clements, Vance Gerry, David Jonas, Roy Morita, John Musker, Richard Rich, Al Wilson, Roy Edward Disney, Rich Hale, Rosemary Anne Sisson, Art Stevens, Bruce Peter Young, Pete Young, Joe Hale","Grant Bardsley, Susan Sheridan, Freddie Jones, Nigel Hawthorne, Arthur Malet, John Byner, Eda Riess Merin, Lindsay Rich, Adele Malis-Morey, Brandon Call, Billie Hayes, John Hurt, Gregory Levinson, Phil Fondacaro, Wayne Allwine, James Almanzar, Steve Hale, John Huston, Jack Laing, Eda Reiss Merin, Phil Nibbelink, Peter Renaday",1985-01-01,2015-12-13,80.0,Walt Disney Productions,Rotten,53.0,32.0,Spilled,48.0,45740.0,7,17,15,25000000.0,21288692.0,25000000.0,21288692.0,10957.0,13.0,,44.0,,0.5913525555555555,Flop
m/1007910-fright_night,Q371456,Fright Night,,,Q96474103,Fright Night,frightnight,tt0089175,11797.0,9000000.0,Q4917,,,P2130,24922237.0,,,,,,Fright Night,"Teenage Charley Brewster (William Ragsdale) is a horror-film junkie, so it's no surprise that, when a reclusive new neighbor named Jerry Dandridge (Chris Sarandon) moves next-door, Brewster becomes convinced he is a vampire. It's also no surprise when nobody believes him. However, after strange events begin to occur, Charlie has no choice but to turn to the only person who could possibly help: washed-up television vampire killer Peter Vincent (Roddy McDowall).",Fright Night deftly combines thrills and humor in this ghostly tale about a man living next to a vampire.,R,Horror,Tom Holland,Tom Holland,"Chris Sarandon, Roddy McDowall, William Ragsdale, Amanda Bearse, Stephen Geoffreys, Jonathan Stark, Dorothy Fielding, Art Evans, Stewart Stern, Nick Savage, Jackie Burch, Ernie Holmes, Steven Hilliard Stern, Prince A. Hughes, Heidi Sorenson, Irina Irvine, Bob Corff, Robert Corff, Pamela Brown, Chris Hendrie, Prince Hughes",1985-01-01,2012-04-16,106.0,Sony Pictures Home Entertainment,Fresh,92.0,37.0,Upright,76.0,49729.0,5,34,3,9000000.0,24922237.0,9000000.0,24922237.0,11797.0,,0.0,,2.0,2.7691374444444445,Hit
m/friday_the_13th_part_5_a_new_beginning,Q286830,Friday the 13th: A New Beginning,Q1138878,Friday the 13th,,,friday13th5,tt0089173,9731.0,2200000.0,,,,,21930418.0,,,,,,"Friday the 13th, Part V - A New Beginning","Years after Tommy Jarvis (John Shepherd) murdered hockey-masked serial killer Jason Voorhees, he resides in a mental hospital and struggles with the trauma of the experience. When Tommy moves to an isolated halfway house, he has nightmares about Jason's return, and soon one of the patients (Dominick Brascia) is killed. As the body count grows, Tommy begins to question his sanity and wonder if Jason has risen from the dead. But, to determine the killer's identity, Tommy will need to survive.",,R,"Horror, Mystery & Suspense",Danny Steinmann,,"John Shepherd, Melanie Kinnaman, Richard Young, Corey Feldman, Shavar Ross, Marco St. John, Juliette Cummins, Carol Lacatell, Vernon Washington, John Dixon, Jerry Pavlon, Caskey Swaim, Mark Venturini, Anthony Barrile, Dominick Brascia, Tiffany Helm, Richard Lineback, Suzanne Bateman, Bob DeSimone, Jere Fields, Ric Mancini, Miguel A. Núñez Jr., Corey Parker, Rebecca Wood-Sharkey, Ron Sloan, Debisue Voorhees, Dick Wieand, Todd Bryant, Curtis Conaway, Sonny Shields, Ed Shinstine, Chuck Wells",1985-01-01,2014-06-06,91.0,Paramount Pictures,Rotten,14.0,21.0,Spilled,26.0,62090.0,0,3,18,2200000.0,21930418.0,2200000.0,21930418.0,9731.0,4.0,,12.0,,9.968371818181819,Blockbuster
m/police_academy_2_their_first_assignment,Q589896,Police Academy 2: Their First Assignment,Q602985,Police Academy,,,policeacademy2,tt0089822,10157.0,7600000.0,,,,,55600000.0,,,,,,Police Academy 2: Their First Assignment,"After graduating in the first ""Police Academy,"" Carey Mahoney (Steve Guttenberg) and the rest of his hapless fellow officers are assigned to a precinct commanded by Capt. Pete Lassard (Howard Hesseman), whose district is being harassed by a gang led by Zed (Bob Goldthwait). Given 30 days to shape up or lose his post, Lassard struggles to discipline his incompetent new charges, while subordinate Lt. Mauser (Art Metrano) plots to take his job away.",,PG-13,Comedy,Jerry Paris,"Barry W. Blaustein, David Sheffield, Jerry Paris, Pat Proft, Neal Israel","Steve Guttenberg, Bubba Smith, David Graf, Michael Winslow, Bruce Mahler, Marion Ramsey, Colleen Camp, Howard Hesseman, Art Metrano, George Gaynes, Bobcat Goldthwait, Leslie Easterbrook, Julie Brown, Peter Van Norden, Tim Kazurinsky, Ed Herlihy, Sandy Ward, Lance Kinsey, Christopher Jackson, Church Ortiz, George R. Robertson, Arthur Batanides, Jackie Joseph, Andrew Paris, Monica Parker, Kenji Shintani, Jennifer Darling, Lucy Lee Flippin, Jason Hervey, Diana Bellamy, Julie Paris, Debra Dusay, Jim Boyce, Tim Haldeman, Bert Williams, Pam Matteson, Bufort L. McClerkins Jr., Conrad Hurtt, Pamela Matheson, William Yamadera, Morris Beers",1985-03-29,2009-01-01,87.0,Warner Home Video,Rotten,31.0,16.0,Spilled,43.0,60642.0,1,5,11,7600000.0,55600000.0,7600000.0,55600000.0,10157.0,1.0,,6.0,,7.315789473684211,Blockbuster
m/view_to_a_kill,Q332368,A View to a Kill,Q26451486,EON James Bond series,,,viewtoakill,tt0090264,707.0,30000000.0,Q4917,,,P2130,50327960.0,Q4917,,,,,A View to a Kill,"After recovering a microchip from the body of a deceased colleague in Russia, British secret agent James Bond (Roger Moore) discovers that the technology has the potential for sinister applications. Investigating further, Bond is led to Max Zorin (Christopher Walken), the head of Zorin Industries. Soon Agent 007 faces off against the villainous Zorin and his tough Amazonian bodyguard, May Day (Grace Jones), who are scheming to cause massive destruction that will eliminate the competition.","Absurd even by Bond standards, A View to a Kill is weighted down by campy jokes and a noticeable lack of energy.",PG,"Action & Adventure, Mystery & Suspense",John Glen,"Richard Maibaum, Michael G. Wilson","Roger Moore, Christopher Walken, Tanya Roberts, Grace Jones, Patrick Macnee, Patrick Bauchau, David Yip, Fiona Fullerton, Lois Maxwell, Alison Doody, Manning Redwood, Willoughby Gray, Desmond Llewelyn, Robert Brown, Walter Gotell, Jean Rougerie, Daniel Benzali, Bogdan Kominowski, Papillon Soo, Mary Stavin, Dominique Risbourg, Carole Ashby, Anthony Chinn, Geoffrey Keen, Lucien Jerome, Joe Flood, Gerard Buehr, Dolph Lundgren, Gerard Buhr, Tony Sibbald, Bill Ackridge, Ron Tarr, Taylor McAuley, Peter Ensor, Seva Novgorodtsev",1985-05-24,2016-10-01,131.0,MGM/UA Entertainment Company,Rotten,38.0,60.0,Spilled,40.0,73909.0,11,23,37,30000000.0,152427960.0,30000000.0,152427960.0,707.0,13.0,,24.0,,1.6775986666666667,Break-even
m/rambo-first-blood-part-ii,Q319783,Rambo: First Blood Part II,Q1621266,Rambo,,,rambo2,tt0089880,1369.0,44000000.0,Q4917,,,P2130,300400432.0,Q4917,,,,,Rambo: First Blood Part II,"John Rambo (Sylvester Stallone) is doing hard time in jail when his former boss, Col. Troutman (Richard Crenna), offers him a deal. If Rambo travels to Vietnam to try to find the American prisoners of war, his criminal record will be expunged. Rambo takes the reconnaissance assignment and agrees not to get involved in any of the action. However, when his Vietnamese lover, Co Bao (Julia Nickson), is killed by American forces, Rambo forgets his promise and takes matters into his own hands.","First Blood Part II offers enough mayhem to satisfy genre fans, but remains a regressive sequel that turns its once-compelling protagonist into just another muscled action berserker.",R,Action & Adventure,George P. Cosmatos,"Kevin Jarre, James Cameron, Sylvester Stallone","Sylvester Stallone, Richard Crenna, Charles Napier, Steven Berkoff, Julia Nickson, George Cheung, Andy Wood, Martin Kove, William Ghent, Vojo Goric, Dana Lee, Baoan Coleman, Steven Williams, Don Collins, Christopher Grant, John Sterlini, Alain Hocquenghem, William Rothlein, Tony Munafo, Tom Gehrke, George Cheung",1985-05-24,2016-08-10,95.0,TriStar Pictures,Rotten,35.0,43.0,Upright,60.0,99821.0,6,15,28,44000000.0,300400432.0,44000000.0,300400432.0,1369.0,1.0,,5.0,,6.827282545454546,Blockbuster
m/nausicaa_of_the_valley_of_the_wind,Q8885676,Nausicaä of the Valley of the Wind,Q104830727,Studio Ghibli Feature Films,,,,tt0087544,81.0,758000.0,Q4917,,,P2130,8736506.0,Q4917,,,,,Nausicaä of the Valley of the Wind (Kaze no tani no Naushika),A princess learns the truth about a toxic forest and battles an evil ruler's plans to destroy it.,,PG,"Animation, Art House & International, Drama, Science Fiction & Fantasy",Hayao Miyazaki,,"Alison Lohman, Patrick Stewart, Shia LaBeouf, Uma Thurman, Edward James Olmos, Chris Sarandon, Mark Hamill, Tress MacNeille",1985-06-13,2019-12-17,95.0,Starmaker Entertainment,Fresh,88.0,17.0,Upright,91.0,71680.0,2,15,2,1000000.0,3301446.0,1000000.0,3301446.0,81.0,0.0,,14.0,,11.52573350923483,Blockbuster
m/1005360-day_of_the_dead,Q219170,Day of the Dead,Q2652860,Night of the Living Dead,,,dayofthedead,tt0088993,8408.0,3500000.0,Q4917,,,P2130,34004262.0,Q4917,,,,,Day of the Dead,"The living dead regroup above while humans (Lori Cardille, Terry Alexander, Joseph Pilato) sweat it out below in a Florida missile silo.","Day of the Dead may arguably be the least haunting entry in George A. Romero's undead trilogy, but it will give audiences' plenty to chew on with its shocking gore and scathing view of society.",R,Horror,George A. Romero,George A. Romero,"Lori Cardille, Terry Alexander, Joseph Pilato, Jarleth Conroy, Jarlath Conroy, Richard Liberty, Howard Sherman, Gary Howard Klar, Terence Alexander, Ralph Marrero, John Amplas, Phillip G. Kellams, Taso N. Stavrakis, Greg Nicotero, Antone DiLeo Jr., Don Brockett, William Cameron, G. Howard Klar, Deborah Carter, Winnie Flynn, Debra Gordon, Jeff Hogan, Barbara Holmes, David Kindlon, Bruce Kirkpatrick, William Andrew Laczko, Susan Martinelli, Kim Maxwell, Barbara Russell, Gene A. Saraceni, John Schwartz, Mark Tierno, Michael Trcic, John Vulich, R.H. Martin, George A. Romero",1985-07-03,2016-06-18,102.0,United Film Distribution Compa,Fresh,81.0,37.0,Upright,75.0,64544.0,3,30,7,3500000.0,34000000.0,3500000.0,34000000.0,8408.0,0.0,,3.0,,9.715503428571429,Blockbuster
m/back_to_the_future,Q91540,Back to the Future,Q91558,Back to the Future,Q98112763,Back to the Future,backtothefuture,tt0088763,105.0,19000000.0,Q4917,,,P2130,383336762.0,Q4917,,,,,Back to the Future,"In this 1980s sci-fi classic, small-town California teen Marty McFly (Michael J. Fox) is thrown back into the '50s when an experiment by his eccentric scientist friend Doc Brown (Christopher Lloyd) goes awry. Traveling through time in a modified DeLorean car, Marty encounters young versions of his parents (Crispin Glover, Lea Thompson), and must make sure that they fall in love or he'll cease to exist. Even more dauntingly, Marty has to return to his own time and save the life of Doc Brown.","Inventive, funny, and breathlessly constructed, Back to the Future is a rousing time-travel adventure with an unforgettable spirit.",PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",Robert Zemeckis,"Bob Gale, Robert Zemeckis","Michael J. Fox, Christopher Lloyd, Crispin Glover, Lea Thompson, Thomas F. Wilson, Claudia Wells, Marc McClure, Wendie Jo Sperber, George DiCenzo, James Tolkan, Frances Lee McCain, Casey Siemaszko, Billy Zane, Harry Waters Jr., J.J. Cohen, Donald Fullilove, Lisa Freeman, Cristen Kauffman, Elsa Raven, Will Hare, Ivy Bethune, Jason Marin, Katherine Britton, Jason Hervey, Maia Brewton, Courtney Gains, Richard L. Duran, Jeff O'Haco, Johnny Green, Jamie Abbott, Norman Alden, Boyd 'Red' Morgan, Sachi Parker, Robert Krantz, Gary Riley, Karen Petrasek, George 'Buck' Flower, Tommy Lee Thomas, Granville ""Danny"" Young, David Harold Brown, Lloyd L. Tolbert, Lee Brownfield, Robert DeLapp, Huey Lewis",1985-07-03,2013-08-08,116.0,Universal Pictures,Certified-Fresh,96.0,84.0,Upright,94.0,1095020.0,23,81,3,19000000.0,381109762.0,19000000.0,381109762.0,105.0,0.0,0.0,3.0,3.0,20.17561905263158,Blockbuster
