rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,bom_film_id,imdb_id,tmdb_id,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region
m/1018323-scarface,Q471306,Scarface,,,,,scarface32,tt0023427,877.0,800000.0,Q4917,,,P2130,,,,,,
m/1018413-scrooge,Q2249404,Scrooge,,,,,scrooge,tt0066344,13765.0,,,,,,,,,,,
m/1018433-sea_hawk,Q1194282,The Sea Hawk,,,,,seahawk,tt0033028,26201.0,1701211.0,Q4917,,,P2130,1631000.0,Q4917,,,,
m/1018473-second_sight,Q7443539,Second Sight,,,,,secondsight,tt0098276,55492.0,,,,,,,,,,,
m/1018550-see_no_evil,Q2465329,See No Evil,,,,,,tt0067727,39859.0,1200000.0,Q4917,,,P2130,,,,,,
m/1018587-separate_tables,Q1520037,Separate Tables,,,,,separatetables,tt0052182,43136.0,,,,,,,,,,,
m/1018688-shadow_of_a_doubt,Q465979,Shadow of a Doubt,,,,,shadowofadoubt,tt0036342,21734.0,,,,,,,,,,,
m/1018699-shaft,Q596260,Shaft,,,,,,tt0067741,482.0,,,,,,,,,,,
m/1018702-shaggy_dog,Q1608728,The Shaggy Dog,,,,,,tt0053271,15944.0,,,,,,,,,,,
m/1018704-shakedown,Q4129024,Shakedown,,,,,shakedown,tt0096087,38558.0,,,,,,,,,,,
m/1018711-shall_we_dance,Q1576105,Shall We Dance,,,,,shallwedance37,tt0029546,31530.0,,,,,,,,,,,
m/1018885-shooting,Q1170246,The Shooting,,,,,,tt0062262,42701.0,75000.0,Q4917,,,P2130,,,,,,
m/1018891-short_circuit,Q540125,Short Circuit,,,,,shortcircuit,tt0091949,2605.0,15000000.0,Q4917,,,P2130,40697761.0,Q4917,,,,
m/1018909-shot_in_the_dark,Q1143501,A Shot in the Dark,Q7143846,The Pink Panther,,,shotinthedark,tt0058586,1594.0,,,,,,,,,,,
m/1018916-show_boat,Q2556456,Show Boat,,,,,,tt0044030,17820.0,,,,,,,,,,,
m/1018989-silent_night_deadly_night,Q1438893,"Silent Night, Deadly Night",Q3960503,"Silent Night, Deadly Night",,,silentnightdeadlynight,tt0088117,27414.0,750000.0,Q4917,,,P2130,2500000.0,Q4917,,,,
m/1018994-silent_partner,Q1750419,The Silent Partner,,,,,,tt0078269,25338.0,2500000.0,Q1104069,,,P2130,,,,,,
m/1019017-silver_streak,Q501374,Silver Streak,,,,,silverstreak,tt0075223,11558.0,6500000.0,Q4917,,,P2130,,,,,,
m/1019026-simon,,,,,,,,,,,,,,,,,,,,
m/1019045-sinbad_the_sailor,Q1273024,Sinbad the Sailor,,,,,,tt0039826,43464.0,2459000.0,Q4917,,,P2130,,,,,,
m/1019128-skin_deep,Q925980,Skin Deep,,,,,skindeep,tt0098343,12478.0,,,,,,,,,,,
m/1019187-sleeping_beauty,Q215617,Sleeping Beauty,Q56070713,Walt Disney Animation Studios film,,,sleepingbeauty,tt0053285,10882.0,6000000.0,Q4917,,,P2130,51600000.0,Q4917,,2022-01-01T00:00:00Z,,
m/1019378-something_to_sing_about,Q5391482,Something to Sing About,,,,,,tt0029588,76464.0,,,,,,,,,,,
m/1019441-sorcerer,Q541707,Sorcerer,,,,,sorcerer,tt0076740,38985.0,21600000.0,Q4917,,,P2130,12006232.0,Q4917,,,,
m/1019541-sparkle,Q3966013,Sparkle,,,,,sparkle,tt0075249,21554.0,,,,,,,,,,,
m/1019544-spartacus,Q108297,Spartacus,,,,,spartacus,tt0054331,967.0,12000000.0,Q4917,,,P2130,22800000.0,Q31015,,,,
m/1019641-splash,,,,,,,,,,,,,,,,,,,,
m/1019716-spring_break,Q7580399,Spring Break,,,,,,tt0086352,21148.0,,,,,,,,,,,
m/1019743-squeeze,Q1962057,The Squeeze,,,,,squeeze,tt0094021,109161.0,,,,,,,,,,,
m/1019761-1019761-st_valentines_day_massacre,Q2348659,The St. Valentine's Day Massacre,,,,,,tt0062301,42702.0,2000000.0,Q4917,,,P2130,,,,,,
m/1019774-stagecoach,Q50714,Stagecoach,,,,,stagecoach,tt0031971,995.0,531300.0,Q4917,,,P2130,,,,,,
m/1019777-stage_fright,Q502530,Stage Fright,,,,,,tt0042994,1978.0,1400000.0,Q4917,,,P2130,1908000.0,Q4917,,,,
m/1019779-stakeout,Q1047663,Stakeout,,,,,stakeout,tt0094025,10859.0,,,,,,65700000.0,Q4917,,,,
m/1019828-star_is_born,Q873186,A Star Is Born,,,,,,tt0029606,22692.0,,,,,,,,,,,
m/1019829-star_is_born,Q1305622,A Star Is Born,,,,,starisborn54,tt0047522,3111.0,,,,,,,,,,,
m/1019831-star_is_born,Q300568,A Star Is Born,,,,,starisborn76,tt0075265,19610.0,,,,,,,,,,,
m/101_dalmatians,Q165512,One Hundred and One Dalmatians,Q56070713,Walt Disney Animation Studios film,,,101dalmations,tt0055254,12230.0,4000000.0,Q4917,,,P2130,144880014.0,Q4917,,,,
m/101_dalmatians_ii_patchs_london_adventure,Q477365,101 Dalmatians II: Patch's London Adventure,,,,,,tt0324941,13654.0,,,,,,,,,,,
m/1020130-sting,Q62665,The Sting,,,,,sting,tt0070735,9277.0,5500000.0,Q4917,,,P2130,,,,,,
m/1020287-stranger,Q978770,The Stranger,,,,,,tt0038991,20246.0,1034000.0,Q4917,,,P2130,3216000.0,Q4917,,,,
m/1020333-streetcar_named_desire,Q212129,A Streetcar Named Desire,,,,,streetcarnameddesire,tt0044081,702.0,1800000.0,Q4917,,,P2130,8000000.0,Q4917,,,,
m/1020415-suddenly,Q1041834,Suddenly,,,,,,tt0047542,18398.0,,,,,,1400000.0,Q4917,,,,
m/1020451-summer_school,Q1518770,Summer School,,,,,summerschool,tt0094072,14671.0,,,,,,,,,,,
m/1020479-sundowners,Q1198545,The Sundowners,,,,,sundowners,tt0054353,43047.0,,,,,,,,,,,
m/1020488-sunshine_boys,Q15623971,The Sunshine Boys,,,,,,tt0073766,16561.0,3500000.0,Q4917,,,P2130,,,,,,
m/1020659-suspect,Q1971726,Suspect,,,,,suspect,tt0094082,12623.0,,,,,,,,,,,
m/1020660-suspicion,Q1509470,Suspicion,,,,,suspicion,tt0034248,11462.0,1800000.0,Q4917,,,P2130,4500000.0,Q4917,,,,
m/1020664-svengali,Q1858039,Svengali,,,,,,tt0022454,45803.0,,,,,,,,,,,
m/1020684-sweet_bird_of_youth,Q7655230,Sweet Bird of Youth,,,,,,tt0056541,33632.0,2000000.0,Q4917,,,P2130,,,,,,
m/1020729-swing_time,Q1191081,Swing Time,,,,,swingtime,tt0028333,20325.0,,,,,,,,,,,
m/1020736-swiss_family_robinson,Q1367163,Swiss Family Robinson,,,,,swissfamilyrobinson,tt0054357,18444.0,,,,,,,,,,,
m/1020814-tale_of_two_cities,Q1430490,A Tale of Two Cities,,,,,,tt0027075,17831.0,,,,,,,,,,,
m/1020861-taming_of_the_shrew,Q1198059,The Taming of the Shrew,,,,,,tt0061407,25560.0,,,,,,,,,,,
m/1020889-target,Q971985,Target,,,,,target,tt0090130,31600.0,,,,,,,,,,,
m/1020897-tarzan_the_ape_man,Q2060354,"Tarzan, the Ape Man",,,,,tarzantheapeman,tt0083170,26325.0,,,,,,,,,,,
m/1021008-tempest,Q1057313,Tempest,,,,,tempest,tt0084776,48249.0,,,,,,,,,,,
m/1021014-ten_commandments,Q1217715,The Ten Commandments,,,,,,tt0014532,24805.0,,,,,,,,,,,
m/1021015-ten_commandments,Q746733,The Ten Commandments,,,,,tencommandments,tt0049833,6844.0,13500000.0,Q4917,,,P2130,,,,,,
m/1021067-terror,Q2451844,Tales of Terror,,,,,,tt0056552,29074.0,,,,,,,,,,,
m/1021128-that_championship_season,Q2213212,That Championship Season,,,,,,tt0084784,116698.0,,,,,,,,,,,
m/1021186-them,Q578809,Them!,,,,,,tt0047573,11071.0,,,,,,,,,,,
m/1021211-shivers,Q1520388,Shivers,,,,,,tt0073705,27429.0,179000.0,Q1104069,,,P2130,,,,,,
m/1021214-they_drive_by_night,Q1464106,They Drive by Night,,,,,,tt0033149,16933.0,,,,,,,,,,,
m/1021230-thief,Q1193098,Thief,,,,,thief,tt0083190,11524.0,5500000.0,Q4917,,,P2130,11492915.0,Q4917,,,,
m/1021242-thing,Q1138425,The Thing from Another World,,,Q96471323,The Thing,thingfromanotherworld,tt0044121,10785.0,,,,,,,,,,,
m/1021244-thing,Q210756,The Thing,Q3998812,Apocalypse Trilogy,Q96471323,The Thing,thing,tt0084787,1091.0,15000000.0,Q4917,,,P2130,19629760.0,Q4917,,,,
m/1021262-thirst,Q4177861,Thirst,,,,,,tt0080016,61689.0,750000.0,Q4917,,,P2130,,,,,,
m/1021269-this_gun_for_hire,Q1215110,This Gun for Hire,,,,,,tt0035432,16703.0,,,,,,,,,,,
m/1021312-three_amigos,Q249288,Three Amigos,,,,,threeamigos,tt0092086,8388.0,,,,,,,,,,,
m/1021316-three_brothers,Q1636832,Three Brothers,,,,,,tt0083226,42150.0,,,,,,,,,,,
m/1021339-three_musketeers,Q1218111,The Three Musketeers,,,,,threemusketeers48,tt0040876,41609.0,,,,,,,,,,,
m/1021340-three_musketeers,Q303235,The Three Musketeers,Q21206730,The Musketeers film trilogy,,,,tt0072281,2926.0,,,,,,,,,,,
m/1021500-time_machine,Q1217787,The Time Machine,,,,,,tt0054387,2134.0,829000.0,Q4917,,,P2130,1610000.0,Q4917,,,,
m/1021648-tommy,Q1419797,Tommy,,,,,tommy,tt0073812,11326.0,5000000.0,Q4917,,,P2130,,,,,,
m/1021681-toolbox_murders,,,,,,,,,,,,,,,,,,,,
m/1021699-top_secret,Q506452,Top Secret!,,,,,topsecret,tt0088286,8764.0,9000000.0,Q4917,,,P2130,20458340.0,Q4917,,,,
m/1021721-torso,Q1216651,Torso,,,,,,tt0069920,31624.0,,,,,,,,,,,
m/1021749-touch_of_evil,,,,,,,,,,,,,,,,,,,,
m/1021765-tough_guys,Q634115,Tough Guys,,,,,toughguys,tt0092105,11038.0,10000000.0,Q4917,,,P2130,21458229.0,Q4917,,,,
m/1021963-treasure_island,Q2634066,Treasure Island,,,,,,tt0025907,43605.0,825000.0,Q4917,,,P2130,,,,,,
m/1021964-treasure_island,Q383854,Treasure Island,,,,,,tt0043067,6646.0,1800000.0,Q4917,,,P2130,,,,,,
m/1022001-trial,,,,,,,,,,,,,,,,,,,,
m/1022024-trip,Q265807,The Trip,,,,,,tt0062395,22694.0,,,,,,,,,,,
m/1022172-twelve_oclock_high,Q1194888,Twelve O'Clock High,,,,,twelveoclockhigh,tt0041996,15497.0,,,,,,,,,,,
m/1022191-twins,Q785157,Twins,,,,,twins,tt0096320,9493.0,15000000.0,Q4917,,,P2130,216614388.0,Q4917,,,,
m/1022314-uncommon_valor,Q599150,Uncommon Valor,,,,,uncommonvalor,tt0086508,9967.0,,,,,,,,,,,
m/1022315-undefeated,Q261854,The Undefeated,,,,,undefeated,tt0065150,18972.0,,,,,,,,,,,
m/1022369-unfaithfully_yours,Q578061,Unfaithfully Yours,,,,,unfaithfullyyours48,tt0040919,33115.0,,,,,,,,,,,
m/1022373-unforgiven,Q1187023,The Unforgiven,,,,,,tt0054428,6643.0,,,,,,,,,,,
m/1022473-valley_girl,,,,,,,,,,,,,,,,,,,,
m/1022537-venom,Q1757437,Venom,,,,,venom,tt0084854,30789.0,7500000.0,Q25224,,,P2130,5229643.0,Q4917,,,,
m/1022570-vice_versa,Q1656221,Vice Versa,,,,,viceversa,tt0096380,26603.0,,,,,,,,,,,
m/1022576-victory,Q696122,Escape to Victory,,,,,victory,tt0083284,17360.0,10000000.0,Q4917,,,P2130,27453418.0,Q4917,,,,
m/1022823-village_of_the_damned,Q658009,Village of the Damned,,,,,,tt0054443,11773.0,320000.0,Q4917,,,P2130,1400000.0,Q4917,,,,
m/1023007-walking_tall,Q1194051,Walking Tall,,,,,,tt0070895,25473.0,,,,,,,,,,,
m/1023205-warriors,Q1122971,The Warriors,,,,,warriors,tt0080120,11474.0,4000000.0,Q4917,,,P2130,22490039.0,Q4917,,,,
m/1023236-water,,,,,,,,,,,,,,,,,,,,
m/1023286-were_no_angels,Q617833,We're No Angels,,,,,werenoangels,tt0098625,5971.0,20000000.0,Q4917,,,P2130,10000000.0,Q4917,,,,
m/1023316-weird_science,Q785031,Weird Science,,,,,weirdscience,tt0090305,11814.0,,,,,,,,,,,
m/1023461-when_a_stranger_calls,Q2363764,When a Stranger Calls,Q99642278,When a Stranger Calls,,,whenastrangercalls,tt0080130,45964.0,,,,,,,,,,,
m/1023508-where_the_boys_are,Q2451595,Where the Boys Are,,,,,,tt0054469,43049.0,,,,,,,,,,,
m/1023543-white_christmas,Q1570133,White Christmas,,,,,whitechristmas,tt0047673,13368.0,,,,,,,,,,,
m/1023717-willard,Q1542073,Willard,,,,,,tt0067991,42532.0,,,,,,14545941.0,Q4917,,,,
m/1023739-winchester_73,Q1425480,Winchester '73,,,,,,tt0043137,14551.0,,,,,,,,,,,
m/1023854-witness,Q488041,Witness,,,,,witness,tt0090329,9281.0,12000000.0,Q4917,,,P2130,68706993.0,Q4917,,,,
m/1023900-womans_face,Q304789,A Woman's Face,,,,,,tt0034399,27622.0,1343000.0,Q4917,,,P2130,1907000.0,Q4917,,,,
m/1023906-women,Q348678,The Women,,,,,women39,tt0032143,22490.0,,,,,,,,,,,
m/1024191-wrong_man,Q472390,The Wrong Man,,,,,wrongman,tt0051207,22527.0,1200000.0,Q4917,,,P2130,,,,,,
m/1024192-wuthering_heights,Q1140611,Wuthering Heights,,,,,,tt0032145,3084.0,,,,,,,,,,,
m/1024232-year_of_the_dragon,Q471932,Year of the Dragon,,,,,yearofthedragon,tt0090350,11018.0,,,,,,,,,,,
m/1024237-yearling,Q1217612,The Yearling,,,,,yearling,tt0039111,19049.0,,,,,,,,,,,
m/1024407-yours_mine_and_ours,Q1183266,"Yours, Mine and Ours",,,,,,tt0063829,27983.0,,,,,,,,,,,
m/1028554-blue_steel,Q885894,Blue Steel,,,,,bluesteel,tt0099160,9491.0,,,,,,,,,,,
m/1028561-where_the_heart_is,Q1217733,Where the Heart Is,,,,,wheretheheartis90,tt0100924,48864.0,,,,,,,,,,,
m/1028564-guardian,Q1169328,The Guardian,,,,,guardian,tt0099710,32043.0,,,,,,,,,,,
m/1028711-mystery_train,Q614795,Mystery Train,,,,,mysterytrain,tt0097940,11305.0,2800000.0,Q4917,,,P2130,1541218.0,Q4917,,,,
m/1028715-revolution,Q1027212,Revolution,,,,,revolution,tt0089913,12701.0,,,,,,,,,,,
m/1029042-henry_v,Q114115,Henry V,,,,,henryv,tt0097499,10705.0,,,,,,,,,,,
m/1029072-kiss_of_death,Q1197547,Kiss of Death,,,,,,tt0039536,21454.0,,,,,,,,,,,
m/1029099-conquest,Q1243374,Conquest,,,,,,tt0028739,30630.0,,,,,,,,,,,
m/1029112-alice_in_wonderland,Q189875,Alice in Wonderland,Q56070713,Walt Disney Animation Studios film,,,aliceinwonderland,tt0043274,12092.0,3000000.0,Q4917,,,P2130,,,,,,
m/1029161-my_blue_heaven,Q733607,My Blue Heaven,,,,,myblueheaven,tt0100212,16384.0,,,,,,,,,,,
m/1029261-state_fair,,,,,,,,,,,,,,,,,,,,
m/1029314-dick_tracy,Q1209853,Dick Tracy,,,,,dicktracy,tt0099422,8592.0,47000000.0,Q4917,,,P2130,162738726.0,Q4917,,,,
m/1029408-bombshell,Q1758675,Bombshell,,,,,,tt0023825,43601.0,344000.0,Q4917,,,P2130,761000.0,Q4917,,,,
m/1029427-navy_seals,Q1657565,Navy SEALs,,,,,navyseals,tt0100232,427910.0,,,,,,,,,,,
m/1029895-goodbye_mr_chips,,,,,,,,,,,,,,,,,,,,
m/102_dalmatians,Q165847,102 Dalmatians,,,,,102dalmatians,tt0211181,10481.0,,,,,,5062428.78,Q4916,,,,
m/1030142-champ,Q463733,The Champ,,,,,,tt0021730,42816.0,,,,,,,,,,,
m/1030146-narrow_margin,Q605845,Narrow Margin,,,,,narrowmargin,tt0100224,31597.0,,,,,,10873237.0,Q4917,,,,
m/1030244-red_dust,Q1262188,Red Dust,,,,,,tt0023382,38077.0,,,,,,,,,,,
m/1030864-desperate_hours,Q217307,Desperate Hours,,,,,desperatehours,tt0099409,31676.0,,,,,,,,,,,
m/1031086-ghost,Q49003,Ghost,,,,,ghost,tt0099653,251.0,22000000.0,Q4917,,,P2130,506000000.0,Q4917,,,,
m/1031087-memphis_belle,Q653281,Memphis Belle,,,,,memphisbelle,tt0100133,12651.0,23000000.0,Q4917,,,P2130,27441977.0,Q4917,,,,
m/1031274-faust,Q672480,Faust,,,,,,tt0016847,10728.0,2000000.0,Q155009,,,P2130,,,,,,
m/1031278-gun_crazy,Q783258,Gun Crazy,,,,,guncrazy,tt0042530,18671.0,400000.0,Q4917,,,P2130,,,,,,
m/1031385-jungle_book,Q199839,The Jungle Book,Q56070713,Walt Disney Animation Studios film,,,junglebook,tt0061852,9325.0,4000000.0,Q4917,,,P2130,141843612.0,Q4917,,,,
m/1031440-long_goodbye,Q1197489,The Long Goodbye,,,,,longgoodbye,tt0070334,1847.0,1700000.0,Q4917,,,P2130,,,,,,
m/1031458-houdini,Q934122,Houdini,,,,,,tt0045886,43192.0,,,,,,,,,,,
m/1031472-avalon,Q790090,Avalon,,,,,avalon,tt0099073,2302.0,,,,,,,,,,,
m/1031635-rookie,Q375186,The Rookie,,,,,rookie90,tt0100514,6723.0,30000000.0,Q4917,,,P2130,21633874.0,Q4917,,,,
m/1031744-long_walk_home,Q1199337,The Long Walk Home,,,,,longwalkhome,tt0100046,51763.0,,,,,,,,,,,
m/1031763-anastasia,Q486591,Anastasia,,,,,,tt0048947,38171.0,,,,,,,,,,,
m/1031766-jane_eyre,,,,,,,,,,,,,,,,,,,,
m/1031984-pit_and_the_pendulum,Q3795241,The Pit and the Pendulum,,,,,,tt0100369,47090.0,,,,,,,,,,,
m/1032176-goodfellas,Q42047,Goodfellas,,,,,goodfellas,tt0099685,769.0,25000000.0,Q4917,,,P2130,46800000.0,Q4917,,,,
m/1032180-after_hours,Q846209,After Hours,,,,,afterhours,tt0088680,10843.0,4500000.0,Q4917,,,P2130,,,,,,
m/1032182-white_fang,Q135491,White Fang,,,,,whitefang,tt0103247,12227.0,,,,,,,,,,,
m/1032409-boy_meets_girl,Q2922980,Boy Meets Girl,,,,,,tt0086994,63418.0,,,,,,,,,,,
m/1032518-mata_hari,Q666084,Mata Hari,,,,,matahari,tt0023196,35545.0,,,,,,,,,,,
m/1032522-alice,Q682262,Alice,,,,,alice,tt0099012,8217.0,,,,,,,,,,,
m/1032750-hidden_agenda,Q950723,Hidden Agenda,,,,,hiddenagenda,tt0099768,47869.0,,,,,,,,,,,
m/1032795-connection,Q2993435,The Connection,,,,,,tt0054763,58227.0,,,,,,,,,,,
m/1032798-entertainer,,,,,,,,,,,,,,,,,,,,
m/1032814-sorry_wrong_number,Q1262450,"Sorry, Wrong Number",,,,,,tt0040823,21635.0,,,,,,,,,,,
m/1032970-awakenings,Q842073,Awakenings,,,,,awakenings,tt0099077,11005.0,31000000.0,Q4917,,,P2130,52096475.0,Q4917,,,,
m/1032980-diabolique,Q739046,Diabolique,,,,,diabolique55,tt0046911,827.0,,,,,,,,,,,
m/1033465-true_colors,Q946597,True Colors,,,,,truecolors,tt0103125,13571.0,20000000.0,Q4917,,,P2130,418807.0,Q4917,,,,
m/1034067-switch,Q996159,Switch,,,,,switch,tt0103016,10261.0,,,,,,,,,,,
m/1034131-field,Q3769339,The Field,,,,,field,tt0099566,31651.0,,,,,,,,,,,
m/1034151-oscar,Q302682,Oscar,,,,,oscar,tt0102603,11890.0,,,,,,23562716.0,Q4917,,,,
m/1035050-night_nurse,,,,,,,,,,,,,,,,,,,,
m/1035061-fury,Q884223,Fury,,,,,,tt0027652,14615.0,604000.0,Q4917,,,P2130,,,,,,
m/1035065-possessed,Q1604885,Possessed,,,,,,tt0039725,20849.0,,,,,,,,,,,
m/1035316-born_to_kill,Q1089519,Born to Kill,,,,,,tt0039211,33813.0,,,,,,,,,,,
m/1035639-toy_soldiers,Q895856,Toy Soldiers,,,,,toysoldiers,tt0103112,10750.0,,,,,,,,,,,
m/1036052-come_and_see,,,,,,,,,,,,,,,,,,,,
m/1036129-miracle,Q1452232,The Miracle,,,,,miracle,tt0102450,41802.0,,,,,,,,,,,
m/1036179-hot_shots,Q832105,Hot Shots!,,,,,hotshots,tt0102059,9595.0,,,,,,,,,,,
m/1036458-dogfight,,,,,,,,,,,,,,,,,,,,
m/1036553-hitman,Q2052860,The Hitman,,,,,,tt0102045,31544.0,,,,,,4654288.0,Q4917,,,,
m/1036653-teachers_pet,Q1781998,Teacher's Pet,,,,,,tt0052278,43137.0,,,,,,,,,,,
m/1036952-shattered,Q492558,Shattered,,,,,shattered,tt0102900,2071.0,,,,,,,,,,,
m/1036976-romeo_and_juliet,Q1081181,Romeo and Juliet,,,,,,tt0028203,43879.0,,,,,,,,,,,
m/1037015-doctor,Q2624506,The Doctor,,,,,doctor,tt0101746,26142.0,,,,,,,,,,,
m/1037017-paradise,Q1811996,Paradise,,,,,paradise91,tt0102631,68430.0,,,,,,,,,,,
m/1037024-commitments,Q644065,The Commitments,,,,,commitments,tt0101605,11663.0,,,,,,,,,,,
m/1037161-frankie_and_johnny,Q774004,Frankie and Johnny,,,,,frankieandjohnny,tt0101912,3784.0,,,,,,,,,,,
m/1037177-deceived,Q1418017,Deceived,,,,,deceived,tt0101694,28455.0,,,,,,,,,,,
m/1037244-star,Q1870585,The Star,,,,,,tt0045186,85783.0,,,,,,,,,,,
m/1037447-poison,Q1962503,Poison,,,,,poison,tt0102687,47620.0,,,,,,,,,,,
m/1037581-cape_fear,Q501995,Cape Fear,,,,,capefear,tt0101540,1598.0,35000000.0,Q4917,,,P2130,182291969.0,Q4917,,,,
m/1037599-voyager,Q469921,Voyager,,,,,voyager,tt0102050,10171.0,,,,,,,,,,,
m/1037649-my_girl,Q833299,My Girl,,,,,mygirl,tt0102492,4032.0,,,,,,,,,,,
m/1037756-jfk,Q741823,JFK,,,,,jfk,tt0102138,820.0,40000000.0,Q4917,,,P2769,205405498.0,Q4917,,,,
m/1037780-man_in_the_moon,Q1195571,The Man in the Moon,,,,,maninthemoon,tt0102388,17474.0,,,,,,2853801.0,Q4917,,,,
m/1037786-prize,Q751341,The Prize,,,,,prize,tt0057426,4025.0,,,,,,,,,,,
m/1037789-train,Q142751,The Train,,,,,,tt0059825,3482.0,5800000.0,Q4917,,,P2130,6800000.0,Q4917,,,,
m/1037864-father_of_the_bride,Q2566505,Father of the Bride,,,,,fatherofthebride,tt0101862,11846.0,,,,,,,,,,,
m/1038009-rush,,,,,,,,,,,,,,,,,,,,
m/1038176-medicine_man,Q1632217,Medicine Man,,,,,medicineman,tt0104839,9096.0,,,,,,,,,,,
m/1038237-platinum_blonde,Q1124332,Platinum Blonde,,,,,,tt0022268,26884.0,,,,,,,,,,,
m/1038526-uninvited,Q1199728,The Uninvited,,,,,,tt0037415,16373.0,,,,,,,,,,,
m/1038613-italian_job,Q1051032,The Italian Job,,,,,,tt0064505,10536.0,3000000.0,Q4917,,,P2130,,,,,,
m/1038726-beethoven,Q754892,Beethoven,Q3637435,Beethoven,Q105093660,Beethoven,beethoven,tt0103786,11806.0,18000000.0,Q4917,,,P2130,147214049.0,Q4917,,,,
m/1038770-high_heels,Q650043,High Heels,,,,,highheels,tt0103030,8222.0,,,,,,,,,,,
m/1038978-babe,Q2004019,The Babe,,,,,,tt0103747,61225.0,,,,,,,,,,,
m/1038990-cutting_edge,Q2408713,The Cutting Edge,,,,,cuttingedge,tt0104040,16562.0,,,,,,,,,,,
m/1039071-gladiator,Q1479218,Gladiator,,,,,gladiator92,tt0104346,16219.0,,,,,,,,,,,
m/1039132-kid_galahad,Q998321,Kid Galahad,,,,,,tt0029080,52229.0,,,,,,,,,,,
m/1039270-deep_cover,Q662779,Deep Cover,,,,,deepcover,tt0104073,20676.0,8000000.0,Q4917,,,P2130,16639799.0,Q4917,,,,
m/1039460-all_i_want_for_christmas,Q1917988,All I Want for Christmas,,,,,alliwantforchristmas,tt0101301,13644.0,,,,,,,,,,,
m/1039511-class_act,Q5127965,Class Act,,,,,classact,tt0103978,30963.0,,,,,,,,,,,
m/1039515-edward_ii,Q618617,Edward II,,,,,edwardii,tt0101798,43654.0,,,,,,,,,,,
m/1039575-1039575-midnight_clear,Q1505754,A Midnight Clear,,,,,midnightclear,tt0102443,23908.0,5000000.0,Q4917,,,P2130,1526697.0,Q4917,,,,
m/1039796-boomerang,Q642511,Boomerang,,,,,boomerang,tt0103859,11066.0,,,,,,,,,,,
m/1040198-rapid_fire,Q1747612,Rapid Fire,,,,,rapidfire,tt0105219,13153.0,,,,,,,,,,,
m/1040204-live_wire,Q1412077,Live Wire,,,,,livewire,tt0104743,12629.0,,,,,,,,,,,
m/1040322-of_mice_and_men,Q1091172,Of Mice and Men,,,,,ofmiceandmen,tt0105046,9609.0,,,,,,5471088.0,Q4917,,,,
m/1040324-body_parts,,,,,,,,,,,,,,,,,,,,
m/1040378-cool_world,Q26265,Cool World,,,,,coolworld,tt0104009,14239.0,28000000.0,Q4917,,,P2130,14110589.0,Q4917,,,,
m/1040379-singles,Q282041,Singles,,,,,singles,tt0105415,11068.0,,,,,,,,,,,
m/1040398-naked_city,Q1587353,The Naked City,,,,,nakedcity,tt0040636,20482.0,,,,,,2400000.0,Q4917,,,,
m/1040442-conquest_of_space,,,,,,,,,,,,,,,,,,,,
m/1040484-wind,Q1781817,Wind,,,,,wind,tt0105824,28881.0,,,,,,96793.0,Q259502,,1993-01-01T00:00:00Z,,
m/1040678-last_of_the_mohicans,Q144483,The Last of the Mohicans,,,,,lastofthemohicans,tt0104691,9361.0,,,,,,,,,,,
m/1040755-consenting_adults,Q943054,Consenting Adults,,,,,consentingadults,tt0104006,37753.0,,,,,,,,,,,
m/1040798-husbands_and_wives,Q740143,Husbands and Wives,,,,,husbandsandwives,tt0104466,28384.0,,,,,,,,,,,
m/1040893-hero,Q1305485,Hero,,,,,hero,tt0104412,10699.0,42000000.0,Q4917,,,P2130,,,,,,
m/1041055-ned_kelly,Q3112204,Ned Kelly,,,,,,tt0066130,38978.0,,,,,,808000.0,Q259502,,1970-01-01T00:00:00Z,,
m/1041070-hallelujah,Q1571464,Hallelujah!,,,,,,tt0019959,72856.0,,,,,,,,,,,
m/1041082-sea_wolf,Q1196858,The Sea Wolf,,,,,,tt0034162,33931.0,1013217.0,Q4917,,,P2130,1237000.0,Q4917,,,,
m/1041862-forever_young,Q515218,Forever Young,,,,,foreveryoung,tt0104291,10326.0,,,,,,,,,,,
m/1041870-matinee,,,,,,,,,,,,,,,,,,,,
m/1041911-unforgiven,Q104137,Unforgiven,,,,,unforgiven,tt0105695,33.0,14400000.0,Q4917,,,P2130,159167799.0,Q4917,,,,
m/1042059-leap_of_faith,Q1196673,Leap of Faith,,,,,leapoffaith,tt0104695,12772.0,,,,,,,,,,,
m/1042135-malcolm_x,Q923925,Malcolm X,,,,,malcolmx,tt0104797,1883.0,,,,,,,,,,,
m/1042161-love_on_the_run,Q1536168,Love on the Run,,,,,,tt0027914,61541.0,,,,,,,,,,,
m/1042193-scent_of_a_woman,Q321561,Scent of a Woman,,,,,scentofawoman,tt0105323,9475.0,31000000.0,Q4917,,,P2130,,,,,,
m/1042212-nowhere_to_run,Q682289,Nowhere to Run,,,,,nowheretorun,tt0107711,10413.0,,,,,,,,,,,
m/1042281-sniper,Q962592,Sniper,Q19867853,Sniper,,,sniper,tt0108171,9545.0,,,,,,18994653.0,Q4917,,,,
