tconst,nconst,title,name
tt0099266,nm0513375,My Mother's Castle,Thérèse Liotard
tt0099266,nm0216213,My Mother's Castle,Victorien Delamare
tt0099266,nm0596860,My Mother's Castle,Joris Molinas
tt0099266,nm0863654,My Mother's Castle,Julie Timmerman
tt0099266,nm0186567,My Mother's Castle,Paul Crauchet
tt0099266,nm0399576,My Mother's Castle,Philippe Uchan
tt0099266,nm0002216,My Mother's Castle,Yves Robert
tt0099334,nm0000367,Cyrano de Bergerac,Gérard Depardieu
tt0099334,nm0110507,Cyrano de Bergerac,Anne Brochet
tt0099334,nm0001641,Cyrano de Bergerac,Vincent Perez
tt0099334,nm0916616,Cyrano de Bergerac,Jacques Weber
tt0099334,nm0078109,Cyrano de Bergerac,Roland Bertin
tt0099334,nm0605429,Cyrano de Bergerac,Philippe Morier-Genoud
tt0099334,nm0536536,Cyrano de Bergerac,Pierre Maguelon
tt0099334,nm0831673,Cyrano de Bergerac,Josiane Stoléru
tt0099334,nm0216187,Cyrano de Bergerac,Anatole Delalande
tt0099334,nm0727319,Cyrano de Bergerac,Alain Rimoux
tt0099334,nm0710919,Cyrano de Bergerac,Jean-Paul Rappeneau
tt0099348,nm0000126,Dances with Wolves,Kevin Costner
tt0099348,nm0001521,Dances with Wolves,Mary McDonnell
tt0099348,nm0001295,Dances with Wolves,Graham Greene
tt0099348,nm0002110,Dances with Wolves,Rodney A. Grant
tt0099348,nm0922671,Dances with Wolves,Floyd 'Red Crow' Westerman
tt0099348,nm0001987,Dances with Wolves,Tantoo Cardinal
tt0099348,nm0665123,Dances with Wolves,Robert Pastorelli
tt0099348,nm0734236,Dances with Wolves,Charles Rocket
tt0099348,nm0001999,Dances with Wolves,Maury Chaykin
tt0099348,nm0379157,Dances with Wolves,Jimmy Herman
tt0099423,nm0000246,Die Hard 2,Bruce Willis
tt0099423,nm0040472,Die Hard 2,William Atherton
tt0099423,nm0000889,Die Hard 2,Bonnie Bedelia
tt0099423,nm0001817,Die Hard 2,Reginald VelJohnson
tt0099423,nm0626259,Die Hard 2,Franco Nero
