tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt2719848,Everest,2015,203427584.0,0QjHgymCkjqHShm0iSyrEP,Everest (Original Motion Picture Soundtrack),2015,127.0,41,24.4375,391,16,2941087,49.018116666666664,"{'Dario Marianelli', 'The Monks Of Tharig Monastery'}"
tt0252866,American Pie 2,2001,287553595.0,6F46TB38Y9UyQG6SSa3B7v,American Pie 2 (Music From The Motion Picture),2001,127.0,18,6.625,106,16,3167781,52.79635,"{'American Hi-Fi', 'Fenix TX', 'blink-182', 'Lucia Cifarelli', '3 Doors Down', 'The Exit', 'Jettingham', 'Angela Ammons', 'Sum 41', 'Witness', 'Left Front Tire', 'Oleander', 'Green Day', 'Uncle Kracker', 'Alien Ant Farm', 'Flying Blind'}"
tt1817273,The Place Beyond the Pines,2013,47135966.0,68J4KvvKC3mRGpR050SnMS,The Place Beyond the Pines (Original Motion Picture Soundtrack),2013,127.0,28,13.0,221,17,3530634,58.8439,"{'Arvo Pärt', 'Bon Iver', 'Ennio Morricone', 'Vladimir Ivanoff', 'Mike Patton', 'The Cryin Shames'}"
tt2557478,Pacific Rim: Uprising,2018,290061297.0,6fKR0PiTZLqXdwiWRNsbTF,Pacific Rim Uprising (Original Soundtrack Album),2018,113.48648648648648,22,7.88,197,25,4561678,76.02796666666667,"{'Lorne Balfe', 'DJ Shadow', 'Wizkid', 'Anderson .Paak', 'Ramin Djawadi', 'Run The Jewels'}"
tt0258000,Panic Room,2002,197079546.0,5Z6wahJ6KuWR49TjQAVj2Z,Panic Room (Original Motion Picture Soundtrack),2002,150,0,0.0,0,9,1809464,30.157733333333333,{'Howard Shore'}
tt0389790,Bee Movie,2007,287594577.0,4NP3VSCnL0KnUnSkkqnSTR,Bee Movie: Music From The Motion Picture,2007,150,23,13.333333333333334,200,15,2645741,44.095683333333334,"{'Rupert Gregson-Williams', 'Sheryl Crow', 'The Archies'}"
tt0207201,What Women Want,2000,374111707,5iiBQi283ypFtzB3KcVEao,Music From The Motion Picture What Women Want,2000,150,3,0.7142857142857143,10,14,2630834,43.847233333333335,"{'Meredith Brooks', 'Tony Bennett', 'Nancy Wilson', 'Alan Silvestri', 'Peggy Lee', 'Richard Weiss & Orchestra', 'Sammy Davis Jr.', 'Lou Rawls', 'Bobby Darin', 'Christina Aguilera', 'The Temptations', 'Frank Sinatra', 'Nnenna Freelon'}"
tt0120630,Chicken Run,2000,224834564.0,5gwkw8fqeUNSeNwL6iovyI,Chicken Run,2000,112.0,32,17.4,348,20,3761311,62.688516666666665,"{'Dion', 'Harry Gregson-Williams', 'Ellis Hall', 'John Powell'}"
tt3393786,Jack Reacher: Never Go Back,2016,162146076.0,3rqchtMQUsLAaJO5EBQaia,Jack Reacher: Never Go Back (Music from the Motion Picture),2016,127.0,10,3.411764705882353,58,17,3108848,51.81413333333333,{'Henry Jackman'}
tt2283336,Men in Black: International,2019,253890701.0,6lvNxroYHcrVaI4NO8uokn,Men in Black: International (Original Motion Picture Score),2019,127.0,10,2.3846153846153846,62,26,3275922,54.5987,"{'Chris Bacon', 'Danny Elfman & Chris Bacon', 'Danny Elfman'}"
tt0373051,Journey to the Center of the Earth,2008,101702060.0,3qAv9OYkqyPhqRxGY0O0QI,Journey To The Center Of The Earth (Original Motion Picture Score),2008,150,19,6.583333333333333,158,24,4039897,67.33161666666666,{'Andrew Lockington'}
tt1981128,Geostorm,2017,221600160.0,4jEzoVWfiEpPDlBCg1Cw3B,Geostorm (Original Motion Picture Soundtrack),2017,127.0,17,5.8125,93,16,3147779,52.462983333333334,{'Lorne Balfe'}
tt0290002,Meet the Fockers,2004,516642939.0,2FODBgFKOkrMNaVfEkh6XL,Meet The Fockers (Original Motion Picture Soundtrack),2001,100.71428571428571,15,6.25,75,12,2243330,37.38883333333333,"{'Randy Newman', 'HeadBone', 'Canned Heat', 'Tim Hardin'}"
tt2334879,White House Down,2013,205366737.0,4zTFFetjqL4vN1QYQLqPYl,White House Down (Original Motion Picture Soundtrack),2013,127.0,8,1.9090909090909092,42,22,2613524,43.558733333333336,"{'Thomas Wander', 'Harald Kloser'}"
tt3300542,London Has Fallen,2016,205754447.0,0fIy6endj94nIdrdnhZhPH,London Has Fallen (Original Motion Picture Soundtrack),2016,127.0,20,7.458333333333333,179,24,3437580,57.293,{'Trevor Morris'}
tt4786282,Lights Out,2016,148868835,7G9bNFXB4Sj9HF4lYzZafg,Lights Out (Original Motion Picture Soundtrack),2016,150,12,3.0625,49,16,2495382,41.5897,{'Benjamin Wallfisch'}
tt0978764,Sucker Punch,2011,89792502.0,4tZDwN2NOtYDJn89BykDWs,Sucker Punch (Original Motion Picture Soundtrack),2011,127.0,43,29.88888888888889,269,9,2947970,49.13283333333333,"{'Björk', 'Skunk Anansie', 'Alison Mosshart', 'Carla Gugino', 'Yoav', 'Queen', 'Oscar Isaac', 'Emilíana Torrini', 'Emily Browning', 'Carla Azar'}"
tt1411238,No Strings Attached,2011,149228077.0,1Z0mYDCeQYESsquSPBtJY5,No Strings Attached (Original Motion Picture Score),2011,127.0,4,5.0,15,3,283559,4.725983333333334,{'John Debney'}
tt1931533,Seven Psychopaths,2012,33035736,5ObKT06gGSheC8grprRAdv,Seven Psychopaths (Original Motion Picture Soundtrack),2012,150,4,0.9473684210526315,18,19,3431142,57.1857,"{'Jean-Paul Fouchécourt', 'Catherine Robbin', 'Deer Tick', 'Carter Burwell', 'Wolfgang Sawallisch', 'Teresa Holloway', 'Josh T. Pearson', 'Hank Williams', 'John Eliot Gardiner', 'The Monteverdi Choir', 'Stone Poneys', 'Philharmonia Chorus', 'Philharmonia Orchestra', 'P.P. Arnold', 'Orchestre Révolutionnaire et Romantique', 'Linda Ronstadt', 'The Walkmen'}"
tt3567288,The Visit,2015,98450062.0,3LtTKq612D7MOAEU3Gg4uF,The Visit (Original Broadway Cast Recording),2015,150,0,0.0,0,22,3970380,66.173,"{'Roger Rees', 'Chita Rivera', 'Chris Newcomer', 'Matthew Deming', 'Jason Danieley', 'Tom Nelis', 'Michelle Veintimilla', 'George Abud', 'Elena Shaddow', 'Mary Beth Peil', 'The Visit Original Broadway Cast', 'John Riddle'}"
tt1464540,I Am Number Four,2011,149878437.0,7eItTQblHGxjRL8c17UCu1,I Am Number Four (Original Motion Picture Soundtrack),2011,127.0,12,3.0952380952380953,65,21,2663835,44.39725,{'Trevor Rabin'}
tt0453467,Déjà Vu,2006,180557550.0,7KFYRohkkvvLVbyQZWgEKk,Déjà Vu (Score),2006,150,15,8.25,99,12,3227088,53.7848,"{'Harry Gregson-Williams', 'Macy Gray'}"
tt4731136,A Cure for Wellness,2017,26620002,1JpTP5zaoj0ud6lLu3gqZ0,A Cure For Wellness (Original Soundtrack Album),2017,150,30,14.055555555555555,253,18,3001141,50.019016666666666,"{'Benjamin Wallfisch', 'Benjamin Wallfisch Feat. Mirel Wagner'}"
tt1502407,Halloween,2018,259900000.0,5CKWm3CJVrTSttgNyX90LM,Halloween (Original 2018 Motion Picture Soundtrack),2018,127.0,43,25.333333333333332,532,21,2616266,43.60443333333333,"{'John Carpenter', 'Cody Carpenter', 'John Carpenter, Cody Carpenter, and Daniel Davies', 'Daniel Davies'}"
tt0230011,Atlantis: The Lost Empire,2001,186053725.0,5mkMnwIpLibABWXO8hKYXq,Atlantis: The Lost Empire,2001,127.0,34,21.666666666666668,390,18,3245116,54.08526666666667,"{'James Newton Howard', 'Mýa'}"
tt0187738,Blade II,2002,155010032.0,2ijiM828bv0mFMboQapT4H,Blade II (Original Motion Picture Score),2002,127.0,18,5.25,84,16,2025063,33.75105,"{'Danny Saber', 'Marco Beltrami'}"
tt1401152,Unknown,2011,130786397,2YSN3RphUjrtVX43StlcjZ,Unknown (Original Motion Picture Soundtrack),2010,150,2,0.25,4,16,3193463,53.224383333333336,"{'John Ottman', 'Alexander Rudd'}"
tt0212985,Hannibal,2001,351692268.0,6JgvWFkxKiG6Z2rDWZCLGV,Hannibal - Original Motion Picture Soundtrack,2001,127.0,34,19.75,237,12,3253756,54.22926666666667,"{'Anthony Hopkins', 'Gavin Greenaway', 'Glenn Gould', 'Hans Zimmer', 'Bruno Lazzaretti', 'Libera', 'Martin Tillman', 'Danielle de Niese', 'Klaus Badelt', 'Mel Wesson', 'Johann Sebastian Bach', 'The Lyndhurst Orchestra', 'Patrick Cassidy'}"
tt1046173,G.I. Joe: The Rise of Cobra,2009,302469017.0,5QDl6pcu66ylqModj0wBvb,G.I. Joe: The Rise Of Cobra (Score From The Motion Picture),2009,106.11764705882354,11,3.9047619047619047,82,21,4313458,71.89096666666667,{'Alan Silvestri'}
tt0478087,21,2008,159808370.0,5CTgv1GrPAD3tl8kyWfgcP,Music From the Motion Picture 21,2008,127.0,27,5.4,81,15,3839277,63.98795,"{'Knivez Out', 'LCD Soundsystem', 'Broadcast', 'Get Shakes', 'Amon Tobin', 'UNKLE', 'Junkie XL', 'The Rolling Stones', 'Mark Ronson', 'Rihanna', 'D. Sardy', 'Electrocute', 'Peter Bjorn and John', 'Soulwax', 'Domino', 'Kasabian', 'MGMT', 'Liela Moss', 'The Aliens'}"
tt5886046,Escape Room,2019,155712077.0,1yXOzWB0hCBauFXgzirYfu,Escape Room 2 (Original Soundtrack),2020,127.0,0,0.2,2,10,1931665,32.19441666666667,{'Team Escape Room'}
tt0429493,The A-Team,2010,177238796.0,56EVsVNT3YnBLbBJzQm1aM,The A-Team (Original Motion Picture Score),2010,127.0,12,4.5,72,16,4357527,72.62545,{'Alan Silvestri'}
tt0278504,Insomnia,2002,113714830.0,4tW85aLwENdeey4eAM66DO,Insomnia (Original Motion Picture Soundtrack),2002,127.0,22,8.222222222222221,148,18,3425994,57.0999,{'David Julyan'}
tt0887883,Burn After Reading,2008,163720069.0,6FVnhjhF7SI5r8a0AmpXh9,Burn After Reading (Original Motion Picture Soundtrack),2008,127.0,9,2.739130434782609,63,23,2169979,36.16631666666667,{'Carter Burwell'}
tt0892782,Monsters vs Aliens,2009,381509870.0,2FbheZ3n5mcW2JujOwl6f9,Monsters vs. Aliens (Music from the Motion Picture),2016,105.9090909090909,13,4.65,93,20,3952530,65.8755,"{'The Exciters', 'Sheb Wooley', 'Sam The Sham & The Pharaohs', 'Henry Jackman', ""The B-52's"", 'Little River Band', 'Buchanan Brothers'}"
tt1571234,Mortal Engines,2018,83869818.0,1WeHH6oAWDbC3t6m5X4T2a,Mortal Engines (Original Motion Picture Soundtrack),2018,127.0,22,10.0,200,20,4219100,70.31833333333333,{'Junkie XL'}
tt1538403,The Mortal Instruments: City of Bones,2013,95396573.0,2BLgCI5sxPWSQGMB3B3Ogf,The Mortal Instruments: City of Bones (Original Motion Picture Soundtrack),2013,127.0,38,23.454545454545453,258,11,2560982,42.683033333333334,"{'Zedd', 'Seven Lions', 'Bassnectar', 'Jessie J', 'AFI', 'Myon & Shane 54', 'He Is We', 'Owl City', 'Nathan Sykes', 'Bryan Ellis', 'Pacific Air', 'Demi Lovato', 'Tove Lo', 'Colbie Caillat', 'Ariana Grande'}"
tt6294822,The Post,2017,179769467.0,3cTpZRRZFh3TkmSohIu9iD,The Post (Original Motion Picture Soundtrack),2017,127.0,17,11.2,112,10,2413050,40.2175,{'John Williams'}
tt0112642,Casper,1995,287928194.0,2TlNQCC5GKsHNScwwAf4ft,Casper,1995,112.0,35,20.133333333333333,302,15,4395495,73.25825,"{'Jordan Hill', 'Little Richard', 'James Horner'}"
tt3829266,The Predator,2018,160542134.0,3868ciTlWAjtqnCqr6a8rG,The Predator (Original Motion Picture Soundtrack),2018,127.0,12,4.04,101,25,3295236,54.9206,{'Henry Jackman'}
tt0955308,Robin Hood,2010,321669741.0,1QN1oNiNm33SVenYlW7ADL,Robin Hood (Original Motion Picture Soundtrack),2010,127.0,53,37.18181818181818,818,22,3098551,51.642516666666666,{'Marc Streitenfeld'}
tt0385752,The Golden Compass,2007,372234864.0,5QMLbqDlXzjxJqvRp2pdBh,The Golden Compass (Original Motion Picture Soundtrack),2007,127.0,21,7.961538461538462,207,26,4430136,73.8356,"{'Alexandre Desplat', 'Kate Bush'}"
tt1528100,Exodus: Gods and Kings,2014,268031828.0,25M7DqUz3Sr2mzO5A1FsW0,Exodus: Gods & Kings (Original Motion Picture Soundtrack),2014,117.0,21,7.4375,238,32,4702403,78.37338333333334,"{'Nicholas Dodd', 'American Federation of Musicians', 'Alberto Iglesias', 'London Voices'}"
