tconst,title,year,revenue,spotify_album_id,spotify_album_name,spotify_album_year,match_score,album_popularity,avg_track_popularity,sum_track_popularity,n_tracks,album_length_ms,album_length_min,album_artists
tt0367882,Indiana Jones and the Kingdom of the Crystal Skull,2008,786636033.0,0oLE7gLc5TVEsJzuY6Dxf5,Indiana Jones and the Kingdom of the Crystal Skull (Original Motion Picture Soundtrack),2008,127.0,43.0,18.789473684210527,357,19,4648247.0,77.47078333333333,{'John Williams'}
tt1219827,Ghost in the Shell,2017,169801921.0,7mA7Z5oy212NMRL8lqFzhO,Ghost in the Shell (Music Inspired by the Motion Picture),2017,127.0,32.0,17.833333333333332,214,12,2384691.0,39.74485,"{'Boys Noize', 'Johnny Jewel', 'DJ Shadow', 'Nils Frahm', 'Above & Beyond', 'Kenji Kawai', 'Tricky', 'Gary Numan', 'IO Echo', 'Ki:Theory', 'Steve Aoki'}"
tt2109248,Transformers: Age of Extinction,2014,1104054072.0,3V5GKKQDKrldly6W5hIwiv,Transformers: Age of Extinction (Music from the Motion Picture) - EP,2014,127.0,50.0,49.75,199,4,1175025.0,19.58375,{'Steve Jablonsky'}
tt0433035,Real Steel,2011,299268508.0,1a8LUK9Z3x2AjH3zYWZVXs,Real Steel - Music From The Motion Picture,2011,127.0,43.0,18.923076923076923,246,13,2938316.0,48.97193333333333,"{'Veronica Gardner', 'The Prodigy', 'Limp Bizkit', '50 Cent', 'Alexi Murdoch', 'Beastie Boys', 'Yelawolf', 'Rival Sons', 'Danny Elfman', 'Foo Fighters', 'Timbaland', 'Eminem', 'Nate Dogg', 'Tom Morello', 'Bad Meets Evil', 'The Crystal Method'}"
tt1469304,Baywatch,2017,177856751.0,1q6XOrwFG7PWxtInLV50Gh,Baywatch (Music From The Motion Picture),2017,127.0,36.0,24.25,194,8,1719237.0,28.65395,"{'Sean Paul', 'Stefflon Don', 'Vince Staples', 'Lionel Richie', 'Desiigner', 'Dua Lipa', 'The Chemical Brothers', 'KSI', 'STS X RJD2', 'Luca Lush', 'Run The Jewels'}"
tt4477536,Fifty Shades Freed,2018,368307760.0,4w0N1CaZwQ5RPIuawqlYyy,Fifty Shades Freed (Original Motion Picture Soundtrack),2018,127.0,70.0,49.5,1089,22,4405672.0,73.42786666666667,"{'Jacob Banks', 'Bishop Briggs', 'Hailee Steinfeld', 'The Spencer Lee Band', 'Louis The Child', 'BloodPop®', 'Kiana Ledé', 'Sabrina Claudio', 'Samantha Gongol', 'Rita Ora', 'Ellie Goulding', 'Shungudzo', 'Jessie J', 'Danny Elfman', 'Liam Payne', 'Juliette Armanet', 'Jamie Dornan', 'Sia', 'Julia Michaels', 'Black Atlass', 'Whethan', 'Jessie Reyez', 'Dua Lipa', 'Prince Charlez', 'Miike Snow'}"
tt1735898,Snow White and the Huntsman,2012,396600000.0,3lgT2CiZOJCoLRJx2BZwDZ,Snow White & The Huntsman,2012,150.0,35.0,17.94736842105263,341,19,4032274.0,67.20456666666666,"{'Ioanna Gika', 'Florence + The Machine', 'James Newton Howard'}"
tt9032400,Eternals,2021,402064899.0,3qBn8Lw72Fs6zWyA7yFrMn,Eternals (Original Motion Picture Soundtrack),2021,127.0,32.0,18.95,379,20,4105931.0,68.43218333333333,"{'Ramin Djawadi', 'Celina Sharma'}"
tt2294449,22 Jump Street,2014,331333876.0,5POSSkeUhcnxKhi2BQ2rNW,22 Jump Street (Original Motion Picture Score),2014,127.0,9.0,2.227272727272727,49,22,2961023.0,49.35038333333333,{'Mark Mothersbaugh'}
tt1823672,Chappie,2015,104399548.0,5Nm4syGDBJH5Aysrg40lju,Chappie (Original Motion Picture Soundtrack),2015,127.0,20.0,11.9375,191,16,3793368.0,63.2228,"{'Steve Mazzaro', 'Andrew Kawczynski', 'Hans Zimmer'}"
tt0319262,The Day After Tomorrow,2004,552639571.0,6n3lkcNDBGpEm8rucmbFbm,The Day After Tomorrow (Original Motion Picture Soundtrack),2004,127.0,41.0,21.5625,345,16,2304047.0,38.40078333333334,{'Harald Kloser'}
tt0462538,The Simpsons Movie,2007,527068851.0,3GeBaSOC6ceNGh4zZwHuoG,The Simpsons Movie: The Music,2007,150.0,15.0,6.266666666666667,94,15,2444397.0,40.73995,{'Hans Zimmer'}
tt0296572,The Chronicles of Riddick,2004,115772733.0,35FZBa9ZLAcjBcnCwMO59W,The Chronicles Of Riddick (Original Motion Picture Soundtrack),2004,150.0,17.0,7.318181818181818,161,22,2878888.0,47.98146666666667,{'Graeme Revell'}
tt0486576,Fantastic Four: Rise of the Silver Surfer,2007,301913131.0,2VyEjVC0QkdD99N0exJwNa,Fantastic Four: Rise of the Silver Surfer (Original Motion Picture Soundtrack),2007,127.0,17.0,6.789473684210527,129,19,3068247.0,51.13745,{'John Ottman'}
tt1179933,10 Cloverfield Lane,2016,110216998.0,2IIy0RaTSXPsvq2NTGZoD2,10 Cloverfield Lane,2016,112.0,21.0,7.928571428571429,111,14,3818275.0,63.63791666666667,{'Bear McCreary'}
tt2094766,Assassin's Creed,2016,240697856.0,1XpQOLKCbWXWslMDf6Ra3r,Assassin's Creed (Original Motion Picture Score),2016,150.0,31.0,19.714285714285715,414,21,3996301.0,66.60501666666667,"{'3D', 'Young Fathers', 'Jed Kurzel'}"
