rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label
m/someone_to_watch_over_me,Q1195568,Someone to Watch Over Me,,,,
m/three_oclock_high,Q1274947,Three O'Clock High,,,,
m/barfly,Q195303,Barfly,,,,
m/year_my_voice_broke,Q1169123,The Year My Voice Broke,,,,
m/prince_of_darkness,Q601013,Prince of Darkness,Q3998812,Apocalypse Trilogy,,
m/1015196-no_mans_land,Q431708,No Man's Land,,,,
m/1020659-suspect,Q1971726,Suspect,,,,
m/hidden,Q2004314,The Hidden,,,,
m/fatal_beauty,Q1370216,Fatal Beauty,,,,
m/death_wish_4_the_crackdown,Q848274,Death Wish 4: The Crackdown,,,,
m/russkies,Q2067091,Russkies,,,,
m/less_than_zero,Q403830,Less Than Zero,,,,
m/hello_again,Q3209906,Hello Again,,,,
m/cry_freedom,Q962363,Cry Freedom,,,,
m/hiding_out,Q4197685,Hiding Out,,,,
m/running_man,Q1058512,The Running Man,,,,
m/howling_iii_the_marsupials,Q1093373,Howling III,,,,
m/last_emperor,Q212775,The Last Emperor,,,,
m/nuts,Q943300,Nuts,,,,
m/flowers_in_the_attic,Q886185,Flowers in the Attic,,,,
m/planes_trains_and_automobiles,Q736788,"Planes, Trains and Automobiles",,,,
m/three_men_and_a_baby,Q1540124,Three Men and a Baby,,,,
m/cobra_verde,Q563723,Cobra Verde,,,,
m/empire_of_the_sun,Q271281,Empire of the Sun,,,,
m/throw_momma_from_the_train,Q1422110,Throw Momma from the Train,,,,
m/wall_street,Q332348,Wall Street,,,,
m/broadcast_news,Q1539062,Broadcast News,,,,
m/the_dead,Q687600,The Dead,,,,
m/batteries_not_included,Q1170818,Batteries Not Included,,,,
m/leonard-part-6,Q1755547,Leonard Part 6,,,,
m/moonstruck,Q1336107,Moonstruck,,,,
m/overboard,Q1539658,Overboard,,,,
m/eddie_murphy_raw,Q1754912,Eddie Murphy Raw,,,,
m/september_1987,,,,,,
m/ironweed,Q1545071,Ironweed,,,,
m/good_morning_vietnam,Q741878,"Good Morning, Vietnam",,,,
m/midnight_crossing,Q3312703,Midnight Crossing,,,,
m/grave_of_the_fireflies,Q274520,Grave of the Fireflies,Q104830727,Studio Ghibli Feature Films,,
m/my_neighbor_totoro,Q39571,My Neighbor Totoro,Q104830727,Studio Ghibli Feature Films,,
m/without_a_clue,Q774547,Without a Clue,,,,
m/halloween_4_the_return_of_michael_myers,Q959853,Halloween 4: The Return of Michael Myers,Q1364022,Halloween,,
m/1005199-dangerous_liaisons,Q830553,Dangerous Liaisons,,,,
m/1000915-and_god_created_woman,Q351989,And God Created Woman,,,,
m/above_the_law,Q923195,Above the Law,,,,
m/big,Q858467,Big,,,,
m/aria,Q654154,Aria,,,,
m/im_gonna_git_you_sucka,Q1521693,I'm Gonna Git You Sucka,,,,
m/1049883-alice,Q1283391,Alice,,,,
m/young_einstein,Q898684,Young Einstein,,,,
m/crossing_delancey,Q4350449,Crossing Delancey,,,,
m/stand_and_deliver,Q211206,Stand and Deliver,,,,
m/little_nikita,Q1451264,Little Nikita,,,,
m/new_adventures_of_pippi_longstocking,Q1215150,The New Adventures of Pippi Longstocking,,,,
m/permanent_record,Q449383,Permanent Record,,,,
m/monkey_shines_an_experiment_in_fear,Q198557,Monkey Shines,,,,
m/1016897-pulse,Q7259632,Pulse,,,,
m/killer_klowns_from_outer_space,Q2171744,Killer Klowns from Outer Space,,,,
m/rentacop,Q1515747,Rent-a-Cop,,,,
m/house_on_carroll_street,Q656209,The House on Carroll Street,,,,
m/lair_of_the_white_worm,Q1192545,The Lair of the White Worm,,,,
m/1011392-kansas,Q1696889,Kansas,,,,
m/return_of_the_living_dead_2,Q2298697,Return of the Living Dead Part II,Q3226427,Return of the Living Dead,,
m/couch_trip,Q502703,The Couch Trip,,,,
m/for_keeps,Q1135714,For Keeps,,,,
m/promised_land_1987,Q3407424,Promised Land,,,,
m/scarecrows,Q4383261,Scarecrows,,,,
m/cherry_2000,Q1070350,Cherry 2000,,,,
m/unbearable_lightness_of_being,Q1122571,The Unbearable Lightness of Being,,,,
m/shes_having_a_baby,Q910178,She's Having a Baby,,,,
m/school_daze,Q2278739,School Daze,,,,
m/action_jackson,Q343668,Action Jackson,,,,
m/1007832-frantic,Q126652,Frantic,,,,
m/1009096-hairspray,,,,,,
m/bloodsport,Q724960,Bloodsport,Q103150699,Bloodsport,,
m/cop,Q1192823,Cop,,,,
m/1022570-vice_versa,Q1656221,Vice Versa,,,,
m/1013488-masquerade,Q1784284,Masquerade,,,,
m/milagro_beanfield_war,Q1546610,The Milagro Beanfield War,,,,
m/police_academy_5_assignment_miami_beach,Q1475462,Police Academy 5: Assignment Miami Beach,Q602985,Police Academy,,
m/johnny_be_good,Q1504740,Johnny Be Good,,,,
m/new_life,Q4658526,A New Life,,,,
m/biloxi_blues,Q863335,Biloxi Blues,,,,
m/beetlejuice,Q320384,Beetlejuice,,,Q124613875,Beetlejuice
m/seventh_sign,Q656861,The Seventh Sign,,,,
m/18_again,Q1340566,18 Again!,,,,
m/1004485-colors,Q1111758,Colors,,,,
m/brain_damage,Q2274297,Brain Damage,,,,
m/someone_to_love,Q3926680,Someone to Love,,,,
m/lady_in_white,Q3232520,Lady in White,,,,
m/casual_sex,Q2341062,Casual Sex?,,,,
m/blue_iguana,Q7718780,The Blue Iguana,,,,
m/critters_2_the_main_course,Q739849,Critters 2: The Main Course,Q1616116,Critters,Q105094259,Critters
m/bagdad_cafe,Q513716,Bagdad Café,,,,
m/sunset,Q590484,Sunset,,,,
m/powaqqatsi,Q541727,Powaqqatsi,Q1377429,Qatsi trilogy,,
m/stormy_monday,Q1574008,Stormy Monday,,,,
m/1018704-shakedown,Q4129024,Shakedown,,,,
m/1005399-dead_heat,Q2527476,Dead Heat,,,,
m/maniac_cop,Q1571786,Maniac Cop,Q3285863,Maniac Cop,,
m/friday_the_13th_part_7_the_new_blood,Q1454798,Friday the 13th Part VII: The New Blood,Q1138878,Friday the 13th,,
m/willow,Q515931,Willow,,,Q123486127,Willow
m/incredible_hulk_returns,,,,,,
m/crocodile_dundee_2,Q1140745,Crocodile Dundee II,Q48674412,Crocodile Dundee,,
m/crusoe,Q849101,Crusoe,,,,
m/rambo_iii,Q392355,Rambo III,Q1621266,Rambo,,
m/ghoulies_2,Q1993118,Ghoulies II,,,,
m/heathers,Q1551916,Heathers,,,,
m/1007990-funny_farm,Q1474737,Funny Farm,,,,
m/presidio,Q1756022,The Presidio,,,,
m/1002310-big_business,Q141518,Big Business,,,,
m/bull_durham,Q567072,Bull Durham,,,,
m/decline_of_western_civilization_pt_2_the_the_metal_years,Q1133535,The Decline of Western Civilization Part II: The Metal Years,,,,
m/great_outdoors,Q1544359,The Great Outdoors,,,,
m/1017328-red_heat,Q514293,Red Heat,,,,
m/who_framed_roger_rabbit,Q379873,Who Framed Roger Rabbit,,,Q2908090,Who Framed Roger Rabbit
m/coming_to_america,Q493755,Coming to America,,,,
m/license_to_drive,Q513411,License to Drive,,,,
m/short_circuit_2,Q2005019,Short Circuit 2,,,,
m/phantasm_ii,Q536139,Phantasm II,Q3901257,Phantasm,,
m/arthur_2_on_the_rocks,Q708332,Arthur 2: On the Rocks,,,,
m/midnight_run,Q847802,Midnight Run,,,,
m/dead_pool,Q263460,The Dead Pool,Q2712648,Dirty Harry,,
m/fish_called_wanda,,,,,,
m/die_hard,Q105598,Die Hard,Q2716420,Die Hard,,
m/caddyshack_2,Q1025096,Caddyshack II,,,,
m/mr_north,Q3327171,Mr. North,,,,
m/big_top_pee_wee,Q2364439,Big Top Pee-wee,,,,
m/cocktail,Q1105359,Cocktail,,,,
m/the_blob_1988,Q957844,The Blob,Q114258342,The Blob,,
m/clean_and_sober,Q1748231,Clean and Sober,,,,
m/last_temptation_of_christ,Q646031,The Last Temptation of Christ,,,,
m/young_guns,Q1353728,Young Guns,Q28970837,Young Guns,,
m/tucker_the_man_and_his_dream,Q1421355,Tucker: The Man and His Dream,,,,
m/miami_connection,Q4163169,Miami Connection,,,,
m/a_nightmare_on_elm_street_4_the_dream_master,Q1364051,A Nightmare on Elm Street 4: The Dream Master,Q617871,A Nightmare on Elm Street,,
m/married_to_the_mob,Q48984,Married to the Mob,,,,
m/police_story_2,Q378013,Police Story 2,Q7209522,Police Story,,
m/thin_blue_line,Q162997,The Thin Blue Line,,,,
m/hero_and_the_terror,Q978131,Hero and the Terror,,,,
m/stealing_home,Q1736594,Stealing Home,,,,
m/1002205-betrayed,Q1350128,Betrayed,,,,
m/sweet_hearts_dance,Q654860,Sweet Hearts Dance,,,,
m/eight_men_out,Q340814,Eight Men Out,,,,
m/running_on_empty,Q544780,Running on Empty,,,,
m/to_kill_a_priest,Q1196270,To Kill a Priest,,,,
m/moon_over_parador,Q1783269,Moon over Parador,,,,
m/some_girls,Q2624856,Some Girls,,,,
m/night_of_the_demons,Q953091,Night of the Demons,,,,
m/prince_of_pennsylvania,Q1196283,The Prince of Pennsylvania,,,,
m/gorillas_in_the_mist,Q1012216,Gorillas in the Mist,,,,
m/dead_ringers,Q635569,Dead Ringers,,,,
m/elvira_mistress_of_the_dark,Q1334314,"Elvira, Mistress of the Dark",,,,
m/punchline,Q1961600,Punchline,,,,
m/bird,Q865056,Bird,,,,
m/track_29,Q3536308,Track 29,,,,
m/tapeheads,Q1468993,Tapeheads,,,,
m/mystic_pizza,Q1331243,Mystic Pizza,,,,
m/imagine,Q4383839,Imagine: John Lennon,,,,
m/alien_nation,Q2346766,Alien Nation,,,,
m/return_of_the_killer_tomatoes_the_sequel,Q943906,Return of the Killer Tomatoes,,,,
m/another_woman,Q541185,Another Woman,,,,
m/1000224-accused,Q531310,The Accused,,,,
m/pumpkinhead,Q1168696,Pumpkinhead,Q3925567,Pumpkinhead,,
m/cinema_paradiso,Q464032,Cinema Paradiso,,,,
m/bat_21,Q795482,Bat*21,,,,
m/things_change,Q1627111,Things Change,,,,
m/good_mother,Q1196264,The Good Mother,,,,
m/they_live,Q72909,They Live,,,,
m/u2_rattle_and_hum,Q8891698,U2: Rattle and Hum,,,,
m/cry_in_the_dark,Q1249239,Evil Angels,,,,
m/everybodys_allamerican,Q2624954,Everybody's All-American,,,,
m/childs_play,Q935945,Child's Play,,,Q2265493,Child's Play
m/ernest_saves_christmas,Q554843,Ernest Saves Christmas,,,,
m/1005967-distant_thunder,Q5282913,Distant Thunder,,,,
m/women_on_the_verge_of_a_nervous_breakdown,Q643283,Women on the Verge of a Nervous Breakdown,,,,
m/sleepaway_camp_ii_unhappy_campers,Q2623971,Sleepaway Camp II: Unhappy Campers,Q3962761,Sleepaway Camp,,
m/oliver_and_company,Q216929,Oliver & Company,Q56070713,Walt Disney Animation Studios film,,
m/high_spirits,Q1617874,High Spirits,,,,
m/scrooged,Q535395,Scrooged,,,,
m/cocoon_the_return,Q1105466,Cocoon: The Return,,,,
m/my_stepmother_is_an_alien,Q1540328,My Stepmother Is an Alien,,,,
m/talk_radio,Q2297385,Talk Radio,,,,
m/tequila_sunrise,Q1423568,Tequila Sunrise,,,,
m/the_naked_gun_from_the_files_of_police_squad,Q832047,The Naked Gun: From the Files of Police Squad!,Q13476442,The Naked Gun,,
m/camille_claudel,Q1029155,Camille Claudel,,,,
m/tromas_war,Q1168803,Troma's War,,,,
m/mississippi_burning,Q918367,Mississippi Burning,,,,
m/1022191-twins,Q785157,Twins,,,,
m/dirty_rotten_scoundrels,Q185248,Dirty Rotten Scoundrels,,,,
m/rain_man,Q188845,Rain Man,,,,
m/working_girl,Q126183,Working Girl,,,,
m/pelle_the_conqueror,Q370707,Pelle the Conqueror,,,,
m/beaches,Q1455870,Beaches,,,,
m/boost,Q3681904,The Boost,,,,
m/hellbound_hellraiser_ii,Q1755324,Hellbound: Hellraiser II,,,,
m/accidental_tourist,Q248289,The Accidental Tourist,,,,
m/sleepaway_camp_iii_teenage_wasteland,Q2362866,Sleepaway Camp III: Teenage Wasteland,Q3962761,Sleepaway Camp,,
m/true_believer,Q930392,True Believer,,,,
m/uhf,Q2093100,UHF,,,,
m/casualties_of_war,Q1126637,Casualties of War,,,,
m/sea_of_love,Q510180,Sea of Love,,,,
m/tetsuo-the-ironman,Q185884,Tetsuo: The Iron Man,,,,
m/sidewalk_stories,Q7508517,Sidewalk Stories,,,,
m/red_scorpion,Q1151145,Red Scorpion,,,,
m/cousins,Q610103,Cousins,,,,
m/society,Q664773,Society,,,,
m/all_dogs_go_to_heaven,Q1067080,All Dogs Go to Heaven,,,,
m/back_to_the_future_2,Q109331,Back to the Future Part II,Q91558,Back to the Future,Q98112763,Back to the Future
m/drugstore_cowboy,Q1261193,Drugstore Cowboy,,,,
m/the_little_mermaid_1989,Q190135,The Little Mermaid,Q906232,Disney Renaissance,,
m/friday_the_13th_part_8_jason_takes_manhattan,Q1454794,Friday the 13th Part VIII: Jason Takes Manhattan,Q1138878,Friday the 13th,,
m/for_all_mankind,Q4162673,For All Mankind,,,,
m/lord_of_the_flies,Q598096,Lord of the Flies,,,,
m/enemies_a_love_story,Q1401821,"Enemies, a Love Story",,,,
m/january_man,Q492853,The January Man,,,,
m/three_fugitives,Q1167229,Three Fugitives,,,,
m/physical_evidence,Q7189557,Physical Evidence,,,,
m/parents,Q847436,Parents,,,,
m/her_alibi,Q1415308,Her Alibi,,,,
m/whos_harry_crumb,Q186445,Who's Harry Crumb?,,,,
m/tap,Q478944,Tap,,,,
m/mighty_quinn,Q858450,The Mighty Quinn,,,,
m/bill_and_teds_excellent_adventure,Q795042,Bill & Ted's Excellent Adventure,Q4907852,Bill & Ted,Q60234290,Bill & Ted
m/the_burbs,Q1740544,The 'Burbs,,,,
m/bert_rigby_youre_a_fool,Q3283847,"Bert Rigby, You're a Fool",,,,
m/lean_on_me,Q1199323,Lean on Me,,,,
m/1019128-skin_deep,Q925980,Skin Deep,,,,
m/farewell_to_the_king,Q689225,Farewell to the King,,,,
m/dream_a_little_dream,Q1256163,Dream a Little Dream,,,,
m/the_church,Q378754,The Church,,,,
m/chances_are,Q1305541,Chances Are,,,,
m/jacknife,Q174601,Jacknife,,,,
m/police_academy_6_city_under_siege,Q1475469,Police Academy 6: City Under Siege,Q602985,Police Academy,,
m/new_york_stories,Q977372,New York Stories,,,,
m/1015753-out_of_the_dark,Q7111734,Out of the Dark,,,,
m/slaves_of_new_york,Q2299481,Slaves of New York,,,,
m/leviathan,Q1740610,Leviathan,,,,
m/fletch_lives,Q1754850,Fletch Lives,,,,
m/976_evil,Q3600228,976-EVIL,,,,
m/troop_beverly_hills,Q1217565,Troop Beverly Hills,,,,
m/dead_bang,Q212660,Dead Bang,,,,
m/cat_chaser,Q289106,Cat Chaser,,,,
m/castle_in_the_sky_1989,,,,,,
m/say_anything,Q963713,Say Anything...,,,,
m/1006287-dream_team,Q718823,The Dream Team,,,,
m/dead_calm,Q845077,Dead Calm,,,,
m/major_league,Q1213621,Major League,,,,
m/masters_of_the_universe_2_cyborg,Q781870,Cyborg,,,,
m/disorganized_crime,Q1659504,Disorganized Crime,,,,
m/shes_out_of_control,Q1229424,She's Out of Control,,,,
m/winter_people,Q2584949,Winter People,,,,
m/pet_sematary,Q908213,Pet Sematary,,,,
m/field_of_dreams,Q517958,Field of Dreams,,,,
m/1003972-checking_out,Q2605140,Checking Out,,,,
m/lets_get_lost_1989,Q3830982,Let's Get Lost,,,,
m/criminal_law,Q1193529,Criminal Law,,,,
m/the_horror_show_1989,Q2257309,The Horror Show,,,,
m/earth_girls_are_easy,Q169372,Earth Girls Are Easy,,,,
m/return_of_swamp_thing,Q2521650,The Return of Swamp Thing,,,,
m/see_no_evil_hear_no_evil,Q1213118,"See No Evil, Hear No Evil",,,,
m/miracle_mile,Q1779738,Miracle Mile,,,,
m/1017666-road_house,Q963351,Road House,,,,
m/indiana_jones_and_the_last_crusade,Q185658,Indiana Jones and the Last Crusade,Q98018448,Indiana Jones,Q2562640,Indiana Jones
m/pink_cadillac,Q508759,Pink Cadillac,,,,
m/see_you_in_the_morning,Q126281,See You in the Morning,,,,
m/brain_dead,Q3472217,Brain Dead,,,,
m/cookie,Q1129611,Cookie,,,,
m/k9,Q1027810,K-9,,,,
m/puppet_master,Q129181,Puppet Master,Q181228,Puppet Master,,
m/1016239-phantom_of_the_opera,Q505325,The Phantom of the Opera,,,Q107316808,The Phantom of the Opera
m/roger_and_me,Q1569662,Roger & Me,,,,
m/chattahoochee,Q1962150,Chattahoochee,,,,
m/cadence,Q1305472,Cadence,,,,
m/bad_taste,Q605204,Bad Taste,,,,
m/vampires_kiss,Q1646783,Vampire's Kiss,,,,
m/no_holds_barred,Q1194108,No Holds Barred,,,,
m/dead_poets_society,Q106316,Dead Poets Society,,,,
m/star_trek_v_the_final_frontier,Q241218,Star Trek V: The Final Frontier,Q1102217,Star Trek,Q1092,Star Trek
m/do_the_right_thing,Q1141252,Do the Right Thing,,,,
m/ashik_kerib,,,,,,
m/ghostbusters_2,Q492214,Ghostbusters II,,,Q2365168,Ghostbusters
m/honey_i_shrunk_the_kids,Q1426248,"Honey, I Shrunk the Kids",,,Q5893347,"Honey, I Shrunk the Kids"
m/the_karate_kid_part_iii,Q1586077,The Karate Kid Part III,Q3987783,The Karate Kid,,
m/1005090-cutting_class,Q2364033,Cutting Class,,,,
m/weekend_at_bernies,Q1545129,Weekend at Bernie's,,,,
m/lethal_weapon_2,Q751767,Lethal Weapon 2,Q1777059,Lethal Weapon,,
m/when_harry_met_sally,Q471169,When Harry Met Sally,,,,
m/licence_to_kill,Q309086,Licence to Kill,Q2484680,James Bond,,
m/turner_and_hooch,Q1537568,Turner & Hooch,,,,
m/kikis_delivery_service,Q196602,Kiki's Delivery Service,Q104830727,Studio Ghibli Feature Films,Q106991893,Kiki's Delivery Service
m/parenthood,Q1137831,Parenthood,,,,
m/1012605-lock_up,Q281480,Lock Up,,,,
m/a_nightmare_on_elm_street_5_the_dream_child,Q1410735,A Nightmare on Elm Street 5: The Dream Child,Q617871,A Nightmare on Elm Street,,
m/violent-cop,Q1156893,Violent Cop,,,,
m/blind-chance,Q1198219,Blind Chance,,,,
m/uncle_buck,Q609091,Uncle Buck,,,,
m/cheetah,Q4135912,Cheetah,,,,
m/let_it_ride,Q3024931,Let It Ride,,,,
m/little_monsters,Q3902620,Little Monsters,,,,
m/romero,Q495138,Romero,,,,
m/package,Q1153280,The Package,,,,
m/relentless,Q3955522,Relentless,,,,
m/shirley_valentine,Q1404361,Shirley Valentine,,,,
m/teen_witch,Q472193,Teen Witch,,,,
m/1011487-kickboxer,Q544098,Kickboxer,Q20649953,Kickboxer,,
m/sweetie,Q3488565,Sweetie,,,,
m/cook_the_thief_his_wife_and_her_lover,,,,,,
m/my_left_foot,Q746574,My Left Foot,,,,
m/big_picture,Q339045,The Big Picture,,,,
m/in_country,Q230482,In Country,,,,
m/erik_the_viking_1989,Q1354274,Erik the Viking,,,,
m/sex_lies_and_videotape,Q1367548,"Sex, Lies, and Videotape",,,,
m/johnny_handsome,Q1083412,Johnny Handsome,,,,
m/innocent_man,Q2365668,An Innocent Man,,,,
m/old_gringo,Q1487777,Old Gringo,,,,
m/halloween_5_the_revenge_of_michael_myers,Q976728,Halloween 5: The Revenge of Michael Myers,Q1364022,Halloween,,
m/look_whos_talking,Q1324330,Look Who's Talking,,,,
m/gross_anatomy,Q4248801,Gross Anatomy,,,,
m/1014946-next_of_kin,Q2003850,Next of Kin,,,,
m/fat_man_and_little_boy,Q1215976,Fat Man and Little Boy,,,,
m/dad,Q1156922,Dad,,,,
m/immediate_family,Q4469937,Immediate Family,,,,
m/shocker,Q1633832,Shocker,,,,
m/valmont,Q1347278,Valmont,,,,
m/stepfather_ii,Q1115572,Stepfather II,,,,
m/1018473-second_sight,Q7443539,Second Sight,,,,
m/1029042-henry_v,Q114115,Henry V,,,,
m/harlem_nights,Q500232,Harlem Nights,,,,
m/prancer,Q1688276,Prancer,,,,
m/1028711-mystery_train,Q614795,Mystery Train,,,,
m/steel_magnolias,Q762140,Steel Magnolias,,,,
m/homer_and_eddie,Q206589,Homer and Eddie,,,,
m/national_lampoons_christmas_vacation,Q1421476,National Lampoon's Christmas Vacation,,,,
m/shedevil,Q1216738,She-Devil,,,,
m/war_of_the_roses,Q1121597,The War of the Roses,,,,
m/triumph_of_the_spirit,Q473788,Triumph of the Spirit,,,,
m/blaze,Q883197,Blaze,,,,
m/1008415-glory,Q862317,Glory,,,,
m/1023286-were_no_angels,Q617833,We're No Angels,,,,
m/wizard,Q786279,The Wizard,,,,
m/family_business,Q1395374,Family Business,,,,
m/born_on_the_fourth_of_july,Q471159,Born on the Fourth of July,,,,
m/tango_and_cash,Q571197,Tango & Cash,,,,
m/always,Q449743,Always,,,,
m/deepstar-six,Q1182423,DeepStar Six,,,,
m/spirit_of_76,,,,,,
m/to_sleep_with_anger,Q7811124,To Sleep with Anger,,,,
m/the_reflecting_skin,Q615395,The Reflecting Skin,,,,
m/disenchanted,,,,,,
m/3_4x_juugatsu,Q301823,Boiling Point,,,,
m/sheltering_sky,Q1619096,The Sheltering Sky,,,,
m/the_two_jakes,Q961829,The Two Jakes,,,,
m/darkman,Q1166264,Darkman,Q105094312,Darkman,,
m/after_dark_my_sweet,Q388934,"After Dark, My Sweet",,,,
m/1028561-where_the_heart_is,Q1217733,Where the Heart Is,,,,
m/two_evil_eyes,Q2118787,Two Evil Eyes,,,,
m/1034131-field,Q3769339,The Field,,,,
m/leatherface_the_texas_chainsaw_massacre_3,Q334169,Leatherface: The Texas Chainsaw Massacre III,Q80981,The Texas Chainsaw Massacre,,
m/internal_affairs,Q498291,Internal Affairs,,,,
m/tremors,Q835650,Tremors,Q98112986,Tremors,Q3998250,Tremors
m/tie_me_up_tie_me_down,Q600176,Tie Me Up! Tie Me Down!,,,,
m/war_requiem,Q3545643,War Requiem,,,,
m/heart_condition,Q1027640,Heart Condition,,,,
m/1007522-flashback,Q143901,Flashback,,,,
m/loose_cannons,Q1194122,Loose Cannons,,,,
m/stanley_and_iris,Q1547262,Stanley & Iris,,,,
m/nasty_girl,,,,,,
m/nightbreed,Q1024694,Nightbreed,,,,
m/1017502-revenge,Q919624,Revenge,,,,
m/the_witches,Q1616747,The Witches,,,,
m/madhouse_1990,Q3283827,Madhouse,,,,
m/la_femme_nikita,Q743928,Nikita,,,,
m/blood_of_heroes,Q1213701,The Blood of Heroes,,,,
m/mountains_of_the_moon,Q595363,Mountains of the Moon,,,,
m/hunt_for_red_october,Q507994,The Hunt for Red October,Q6114974,Jack Ryan film series,,
m/handmaids_tale,Q569189,The Handmaid's Tale,,,,
m/joe_versus_the_volcano,Q1740645,Joe Versus the Volcano,,,,
m/bad_influence,Q594226,Bad Influence,,,,
m/house_party,Q1631381,House Party,,,,
m/the_forbidden_dance,Q7734730,The Forbidden Dance,,,,
m/blind_fury,Q884220,Blind Fury,,,,
m/1028554-blue_steel,Q885894,Blue Steel,,,,
m/pretty_woman,Q207954,Pretty Woman,,,,
m/opportunity_knocks,Q785268,Opportunity Knocks,,,,
m/teenage_mutant_ninja_turtles_the_movie,Q58439,Teenage Mutant Ninja Turtles,Q7694441,Teenage Mutant Ninja Turtles in film,Q98713259,Teenage Mutant Ninja Turtles
m/first_power,Q3107143,The First Power,,,,
m/i_love_you_to_death,Q1476000,I Love You to Death,,,,
m/cry-baby,Q179746,Cry-Baby,,,,
m/ernest_goes_to_jail,Q4532576,Ernest Goes to Jail,,,,
m/1010440-impulse,Q4373522,Impulse,,,,
m/crazy_people,Q4445950,Crazy People,,,,
m/gods_must_be_crazy_2,Q1213253,The Gods Must Be Crazy II,Q4211213,The Gods Must Be Crazy,,
m/miami_blues,Q953475,Miami Blues,,,,
m/ju_dou,Q1299823,Ju Dou,,,,
m/1028564-guardian,Q1169328,The Guardian,,,,
m/spaced_invaders,Q1320234,Spaced Invaders,,,,
m/q_and_a,Q618527,Q & A,,,,
m/class_of_1999,Q2624674,Class of 1999,,,,
m/tales_from_the_darkside_the_movie,Q387603,Tales from the Darkside: The Movie,,,,
m/bird_on_a_wire,Q135347,Bird on a Wire,,,,
m/fire_birds,Q408102,Fire Birds,,,,
m/back_to_the_future_3,Q230552,Back to the Future Part III,Q91558,Back to the Future,Q98112763,Back to the Future
m/santa_sangre,Q612035,Santa Sangre,,,,
m/hard_to_kill,Q783317,Hard to Kill,,,,
m/total_recall,Q222018,Total Recall,,,,
m/frankenhooker,Q1124798,Frankenhooker,,,,
m/kickboxer_2,Q1677214,Kickboxer 2,Q20649953,Kickboxer,,
m/eve_of_destruction_1990,Q3284422,Eve of Destruction,,,,
m/unbelievable_truth,Q2363912,The Unbelievable Truth,,,,
m/puppet_master_ii,Q127427,Puppet Master II,Q181228,Puppet Master,,
m/another_48_hrs,Q645263,Another 48 Hrs.,,,,
m/1029314-dick_tracy,Q1209853,Dick Tracy,,,,
m/gremlins_2_the_new_batch,Q505712,Gremlins 2: The New Batch,Q122802624,Gremlins,Q96387713,Gremlins
m/robocop_2,Q834021,RoboCop 2,Q16673014,RoboCop,Q2080591,RoboCop
m/betsys_wedding,Q4409907,Betsy's Wedding,,,,
m/days_of_thunder,Q603696,Days of Thunder,,,,
m/ghost_dad,Q918689,Ghost Dad,,,,
m/die_hard_2_1990,Q105993,Die Hard 2,Q2716420,Die Hard,,
m/the_jetsons,Q457382,Jetsons: The Movie,Q6619965,list of films based on Hanna Barbera cartoons,,
m/1031086-ghost,Q49003,Ghost,,,,
m/quick_change,Q1305773,Quick Change,,,,
m/arachnophobia,Q624609,Arachnophobia,,,,
m/10009001-the_freshman,Q1455699,The Freshman,,,,
m/1029427-navy_seals,Q1657565,Navy SEALs,,,,
m/problem_child,Q2075493,Problem Child,,,,
m/presumed_innocent,Q777629,Presumed Innocent,,,,
m/young_guns_2,Q883213,Young Guns II,Q28970837,Young Guns,,
m/metropolitan,Q3855743,Metropolitan,,,,
m/ducktales-the-movie,Q1263501,DuckTales the Movie: Treasure of the Lost Lamp,,,,
m/air_america,Q406785,Air America,,,,
m/flatliners,Q514348,Flatliners,,,,
m/exorcist_3,Q1150596,The Exorcist III,Q7732814,The Exorcist,,
m/taking_care_of_business,Q1415430,Taking Care of Business,,,,
m/1029161-my_blue_heaven,Q733607,My Blue Heaven,,,,
m/men_at_work_1990,Q1083454,Men at Work,,,,
m/dreams_1990,Q418809,Dreams,,,,
m/delta_force_2,Q1184895,Delta Force 2: The Colombian Connection,Q3461318,Delta Force,,
m/my_fathers_glory,,,,,,
m/come_see_the_paradise,Q1580686,Come See the Paradise,,,,
m/1031087-memphis_belle,Q653281,Memphis Belle,,,,
m/1032750-hidden_agenda,Q950723,Hidden Agenda,,,,
m/postcards_from_the_edge,Q1427222,Postcards from the Edge,,,,
m/grifters,Q304488,The Grifters,,,,
m/white_hunter_black_heart,Q1423573,White Hunter Black Heart,,,,
m/hardware,Q1230682,Hardware,,,,
m/repossessed,Q634582,Repossessed,,,,
m/1032176-goodfellas,Q42047,Goodfellas,,,,
m/funny_about_love,Q5509347,Funny About Love,,,,
m/1030146-narrow_margin,Q605845,Narrow Margin,,,,
m/millers_crossing,Q130142,Miller's Crossing,,,,
m/pacific_heights,Q1148079,Pacific Heights,,,,
m/king_of_new_york,Q775586,King of New York,,,,
m/troll-2,Q771485,Troll 2,,,,
m/marked_for_death,Q109110,Marked for Death,,,,
m/1030864-desperate_hours,Q217307,Desperate Hours,,,,
m/1031472-avalon,Q790090,Avalon,,,,
m/welcome_home_roxy_carmichael,Q1305021,"Welcome Home, Roxy Carmichael",,,,
m/mr_destiny,Q1951422,Mr. Destiny,,,,
m/reversal_of_fortune,Q1210973,Reversal of Fortune,,,,
m/quigley_down_under,Q1544448,Quigley Down Under,,,,
m/night_of_the_living_dead_1990,Q545417,Night of the Living Dead,,,,
