rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label
m/she_done_him_wrong,Q62163,She Done Him Wrong,,,,
m/42nd_street,Q44662,42nd Street,,,,
m/rasputin_and_the_empress,Q827064,Rasputin and the Empress,,,,
m/gold_diggers_of_1933,Q1519422,Gold Diggers of 1933,,,,
m/baby_face,Q682702,Baby Face,,,,
m/1014246-morning_glory,Q572789,Morning Glory,,,,
m/1005875-dinner_at_eight,Q722648,Dinner at Eight,,,,
m/private_life_of_henry_viii,Q1170115,The Private Life of Henry VIII,,,,
m/footlight_parade,Q534459,Footlight Parade,,,,
m/1029408-bombshell,Q1758675,Bombshell,,,,
m/kennel_murder_case,,,,,,
m/1010695-invisible_man,Q135932,The Invisible Man,,,,
m/1012524-little_women,Q195274,Little Women,,,,
m/duck_soup,Q1125566,Duck Soup,,,,
m/dancing_lady,Q1656323,Dancing Lady,,,,
m/1223275-alice_in_wonderland,Q1120277,Alice in Wonderland,,,,
m/son_of_kong,Q127632,The Son of Kong,,,Q3876200,King Kong
m/flying_down_to_rio,Q1434597,Flying Down to Rio,,,,
m/queen_christina,Q1634665,Queen Christina,,,,
m/dames,Q1440832,Dames,,,,
m/latalante,Q780016,L'Atalante,,,,
m/maniac_1934,,,,,,
m/1012772-lost_patrol,Q1218906,The Lost Patrol,,,,
m/it_happened_one_night,Q208632,It Happened One Night,,,,
m/death_takes_a_holiday,Q1219315,Death Takes a Holiday,,,,
m/man_of_aran,,,,,,
m/manhattan_melodrama,Q533902,Manhattan Melodrama,,,,
m/twentieth_century,Q1788051,Twentieth Century,,,,
m/thin_man,Q1198497,The Thin Man,,,,
m/murder_at_the_vanities,,,,,,
m/1021963-treasure_island,Q2634066,Treasure Island,,,,
m/barretts_of_wimpole_street,Q1263583,The Barretts of Wimpole Street,,,,
m/gay_divorcee,Q947098,The Gay Divorcee,,,,
m/1082542-imitation_of_life,Q391541,Imitation of Life,,,,
m/bright_eyes,Q2389107,Bright Eyes,,,,
m/march_of_the_wooden_soldiers,Q2064189,Babes in Toyland,,,,
m/alice_adams,Q1619523,Alice Adams,,,,
m/1005194-dangerous,Q849336,Dangerous,,,,
m/1020814-tale_of_two_cities,Q1430490,A Tale of Two Cities,,,,
m/1001063-anna_karenina,Q561208,Anna Karenina,,,,
m/the_scarlet_pimpernel_1935,,,,,,
m/the_whole_towns_talking,Q1271895,The Whole Town's Talking,,,,
m/roberta,Q1862822,Roberta,,,,
m/gold_diggers_of_1935,Q1079463,Gold Diggers of 1935,,,,
m/triumph_of_the_will,Q156497,Triumph of the Will,,,,
m/the_man_who_knew_too_much,Q506625,The Man Who Knew Too Much,,,,
m/1012225-les_miserables,Q259574,Les Misérables,,,,
m/bride_of_frankenstein,Q875904,Bride of Frankenstein,Q96378410,Frankenstein,,
m/1010553-informer,Q463869,The Informer,,,,
m/werewolf_of_london,Q933339,Werewolf of London,,,,
m/1061177-she,Q2800583,She,,,,
m/1000121-39_steps,Q501105,The 39 Steps,,,,
m/china_seas,Q319147,China Seas,,,,
m/top_hat,Q1139031,Top Hat,,,,
m/1013867-midsummer_nights_dream,Q1305191,A Midsummer Night's Dream,,,,
m/1014481-mutiny_on_the_bounty,Q329709,Mutiny on the Bounty,,,,
m/1015002-night_at_the_opera,Q943992,A Night at the Opera,,,,
m/littlest_rebel,Q1764674,The Littlest Rebel,,,,
m/sylvia_scarlett,,,,,,
m/1003499-captain_blood,Q1425815,Captain Blood,,,,
m/great_ziegfeld,,,,,,
m/charge_of_the_light_brigade_1936,Q1197830,The Charge of the Light Brigade,,,,
m/libeled_lady,Q375578,Libeled Lady,,,,
m/draculas_daughter,Q282276,Dracula's Daughter,Q105095040,Dracula,,
m/1003441-camille,Q1213755,Camille,,,,
m/rose_marie_1936,Q3522827,Rose Marie,,,,
m/the_petrified_forest,Q953939,The Petrified Forest,,,,
m/follow_the_fleet,Q1464435,Follow the Fleet,,,,
m/modern_times,Q45602,Modern Times,,,,
m/1012439-little_lord_fauntleroy,Q1199248,Little Lord Fauntleroy,,,,
m/mr_deeds_goes_to_town,Q475529,Mr. Deeds Goes to Town,,,,
m/things_to_come,Q241141,Things to Come,,,,
m/1035061-fury,Q884223,Fury,,,,
m/san_francisco,Q130769,San Francisco,,,,
m/green_pastures,,,,,,
m/1036976-romeo_and_juliet,Q1081181,Romeo and Juliet,,,,
m/1020729-swing_time,Q1191081,Swing Time,,,,
m/1014536-my_man_godfrey,Q1811134,My Man Godfrey,,,,
m/captain_january,Q2468435,Captain January,,,,
m/dodsworth,Q185048,Dodsworth,,,,
m/tarzan_escapes,Q1469134,Tarzan Escapes,,,,
m/1042161-love_on_the_run,Q1536168,Love on the Run,,,,
m/three_smart_girls,Q1257247,Three Smart Girls,,,,
m/after_the_thin_man,Q1271874,After the Thin Man,,,,
m/in_old_chicago,Q1619866,In Old Chicago,,,,
m/marked_woman,Q2542754,Marked Woman,,,,
m/maytime,Q1407062,Maytime,,,,
m/1018044-sabotage,Q500488,Sabotage,,,,
m/pepe_le_moko_1937,Q1241684,Pépé le Moko,,,,
m/good_earth,Q612540,The Good Earth,,,,
m/quality_street,,,,,,
m/1019828-star_is_born,Q873186,A Star Is Born,,,,
m/1018711-shall_we_dance,Q1576105,Shall We Dance,,,,
m/1016724-prince_and_the_pauper,Q2628907,The Prince and the Pauper,,,,
m/1039132-kid_galahad,Q998321,Kid Galahad,,,,
m/day_at_the_races,Q1214749,A Day at the Races,,,,
m/1003531-captains_courageous,Q241876,Captains Courageous,,,,
m/dead_end_1937,Q676341,Dead End,,,,
m/lost_horizon,Q1619885,Lost Horizon,,,,
m/1016756-prisoner_of_zenda,Q1193773,The Prisoner of Zenda,,,,
m/life_of_emile_zola,Q738552,The Life of Emile Zola,,,,
m/stage_door,Q1020603,Stage Door,,,,
m/1009437-heidi,Q1594303,Heidi,,,,
m/awful_truth,Q278513,The Awful Truth,,,,
