,rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,p_and_a_method,share_effective,p_and_a_est,studio_rentals_est,profit_est,roi_est,gross_to_budget_multiple,breakeven_world_est,breakeven_gap,money_success_label
38,m/10005057-smile,Q7544584,Smile,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
39,m/10005104-intruder,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
40,m/10005178-saint_ralph,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
41,m/10005403-the_baxter,Q3519895,The Baxter,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
42,m/10005499-oliver_twist,Q861202,Oliver Twist,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
43,m/1000560-alamo,Q1621909,The Alamo,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
44,m/10005755-g,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
45,m/1000580-alexander_the_great,Q619228,Alexander the Great,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
46,m/1000581-alfie,Q402645,Alfie,,,,,500000.0,Q4917,,,P2130,18871300.0,Q4917,,,,,50% of production budget (heuristic),0.45,250000.0,8492085.0,7742085.0,10.32278,37.7426,1666666.6666666665,17204633.333333332,smash_hit
47,m/10005819-10005819-neverwas,Q1982253,Neverwas,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
48,m/10006007-the_second_chance,Q7762891,The Second Chance,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
49,m/10006057-moonlight,Q12126258,Moonlight,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
50,m/1000617-aliens,Q104814,Aliens,Q1990792,Alien,Q1990792,Alien,18500000.0,Q4917,,,P2130,131060248.0,Q4917,,,,,50% of production budget (heuristic),0.45,9250000.0,58977111.6,31227111.6,1.125301318918919,7.08433772972973,61666666.666666664,69393581.33333334,smash_hit
51,m/10006188-rise,Q248562,Rise: Blood Hunter,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
52,m/1000626-all_about_eve,Q200299,All About Eve,,,,,1400000.0,Q4917,,,P2130,8489279.0,Q4917,,,,,50% of production budget (heuristic),0.45,700000.0,3820175.5500000003,1720175.5500000003,0.8191312142857144,6.063770714285714,4666666.666666667,3822612.333333333,hit
53,m/10006270,Q3898443,When Do We Eat?,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
54,m/10006324,Q257450,The Mostly Unfabulous Social Life of Ethan Green,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
55,m/10006343-dirty,Q1137811,Dirty,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
56,m/10006370-stay_alive,Q586367,Stay Alive,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
57,m/1000640-all_of_me,Q2299189,All of Me,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
58,m/1000643-all_quiet_on_the_western_front,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
59,m/10006434-dreamland,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
60,m/10006485-black_gold,Q4920841,Black Gold,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
61,m/1000654-all_the_kings_men,Q817159,All the King's Men,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
62,m/10006588-street_fight,Q7622831,Street Fight,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
63,m/10006780-lost_horizon,Q2649324,Lost Horizon,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
64,m/10006848-the_motel,Q7752396,The Motel,,,,,250000.0,Q4917,,,P2130,51540.0,Q4917,,,,,50% of production budget (heuristic),0.45,125000.0,23193.0,-351807.0,-0.938152,0.20616,833333.3333333333,-781793.3333333333,bomb
65,m/10006849-once_in_a_lifetime,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
66,m/10006856-requiem,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
