,rotten_tomatoes_link,wd_film_qid,wd_film_label,series_qid,series_label,franchise_qid,franchise_label,budget_value,budget_currency_qid,budget_currency,budget_asof,budget_source,box_office_value,box_office_currency_qid,box_office_currency,box_office_asof,box_office_region_qid,box_office_region,p_and_a_method,share_effective,p_and_a_est,studio_rentals_est,profit_est,roi_est,gross_to_budget_multiple,breakeven_world_est,breakeven_gap,money_success_label
4099,m/brown_sugar,Q3280697,Brown Sugar,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4100,m/brubaker,Q798239,Brubaker,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4101,m/bruce_almighty,Q207816,Bruce Almighty,,,,,81000000.0,Q4917,,,P2130,484572835.0,Q4917,,,,,50% of production budget (heuristic),0.45,40500000.0,218057775.75,96557775.75,0.7947142037037037,5.982380679012346,270000000.0,214572835.0,hit
4102,m/bruiser,Q2723328,Bruiser,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4103,m/bruno,Q926309,Brüno,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4104,m/bruno_2000,Q517811,Bruno,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4105,m/bruoguminn,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4106,m/brush_with_danger,Q17512463,Brush with Danger,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4107,m/brute_force,Q187686,Brute Force,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4108,m/bubba_ho_tep,Q997423,Bubba Ho-tep,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4109,m/bubble_boy,Q1444046,Bubble Boy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4110,m/buck,Q2927444,Buck,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4111,m/bucket_list,Q463768,The Bucket List,,,,,45000000.0,Q4917,,,P2130,175372502.0,Q4917,,,,,50% of production budget (heuristic),0.45,22500000.0,78917625.9,11417625.900000006,0.16915001333333343,3.8971667111111112,150000000.0,25372502.0,marginal
4112,m/bucket_of_blood,Q2567687,A Bucket of Blood,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4113,m/bucky_larson_born_to_be_a_star,Q2665674,Bucky Larson: Born to Be a Star,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4114,m/buddy_holly_story,Q1211819,The Buddy Holly Story,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4115,m/buddymoon,Q24278879,Buddymoon,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4116,m/budrus,Q2927587,Budrus,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4117,m/buena_vista_social_club_adios,Q22074954,Buena Vista Social Club: Adios,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4118,m/buffalo_66,Q1002142,Buffalo '66,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4119,m/buffalo_bill_and_the_indians_or_sitting_bulls_history_lesson,Q1001943,"Buffalo Bill and the Indians, or Sitting Bull's History Lesson",,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4120,m/buffalo_boys_2019,Q55606088,Buffalo Boys,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4121,m/buffalo_girls_2012,Q4985739,Buffalo Girls,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4122,m/buffalo_soldiers,Q653473,Buffalo Soldiers,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4123,m/buffy_the_vampire_slayer,Q39970,Buffy the Vampire Slayer,,,,,7000000.0,Q4917,,,P2130,16624456.0,Q4917,,,,,50% of production budget (heuristic),0.45,3500000.0,7481005.2,-3018994.8,-0.28752331428571426,2.3749222857142858,23333333.333333332,-6708877.333333332,underperformer
4124,m/bug,Q1002251,Bug,,,,,4000000.0,Q4917,,,P2130,8100000.0,Q4917,,,,,50% of production budget (heuristic),0.45,2000000.0,3645000.0,-2355000.0,-0.3925,2.025,13333333.333333332,-5233333.333333332,underperformer
4125,m/bugs_2006,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4126,m/bugs_life,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4127,m/bugsy,Q241085,Bugsy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4128,m/bugsy_malone,Q851611,Bugsy Malone,,,,,575000.0,Q25224,,,P2130,,,,,,,50% of production budget (heuristic),0.45,287500.0,,,,,1916666.6666666665,,
4129,m/bukowski_born_into_this,Q1003411,Bukowski: Born into This,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4130,m/bull_2020,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4131,m/bull_durham,Q567072,Bull Durham,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4132,m/bullet_2013,Q15997390,Bullet,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4133,m/bullet_head,Q42843713,Bullet Head,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4134,m/bullet_to_the_head,Q135230,Bullet to the Head,,,,,55000000.0,Q4917,,,P2130,21947209.0,Q4917,,,,,50% of production budget (heuristic),0.45,27500000.0,9876244.05,-72623755.95,-0.880287950909091,0.39904016363636363,183333333.33333334,-161386124.33333334,bomb
4135,m/bulletproof_heart,Q1983074,Bulletproof Heart,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4136,m/bulletproof_monk,Q258754,Bulletproof Monk,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4137,m/bullitt,Q261209,Bullitt,,,,,4000000.0,Q4917,,,P2130,42300873.0,Q4917,,,,,50% of production budget (heuristic),0.45,2000000.0,19035392.85,13035392.850000001,2.1725654750000003,10.57521825,13333333.333333332,28967539.666666668,smash_hit
4138,m/bully,Q1004657,Bully,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4139,m/bully_2012,Q4997083,Bully,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4140,m/bulworth,Q576505,Bulworth,,,,,30000000.0,Q4917,,,P2130,29202884.0,Q4917,,,,,50% of production budget (heuristic),0.45,15000000.0,13141297.8,-31858702.2,-0.7079711599999999,0.9734294666666666,100000000.0,-70797116.0,bomb
4141,m/bumblebee,Q34220038,Bumblebee,Q2073466,Transformers,,,135000000.0,Q4917,,,P2130,467989645.0,Q4917,,,,,50% of production budget (heuristic),0.45,67500000.0,210595340.25,8095340.25,0.03997698888888889,3.466589962962963,450000000.0,17989645.0,marginal
4142,m/bunny_and_the_bull,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4143,m/bunny_lake_is_missing,Q1009708,Bunny Lake Is Missing,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4144,m/bunraku,Q2702930,Bunraku,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4145,m/bunty_and_babli,Q852001,Bunty Aur Babli,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4146,m/burden_2017,Q26828149,Burden,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4147,m/burden_2020,Q27964433,Burden,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4148,m/burden_of_dreams,Q4096277,Burden of Dreams,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4149,m/buried,Q16782,Buried,,,,,2000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,1000000.0,,,,,6666666.666666666,,
4150,m/burke_and_hare,Q1016369,Burke & Hare,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4151,m/burlesque,Q749102,Burlesque,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4152,m/burma-vj,Q1016657,Burma VJ,Q7847526,True Stories,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4153,m/burn,Q2054677,Burn!,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4154,m/burn_2012,Q25136250,Burn,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4155,m/burn_2019,Q65051475,Burn,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4156,m/burn_after_reading,Q381731,Burn After Reading,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4157,m/burn_country_2016,Q26684841,Burn Country,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4158,m/burn_witch_burn,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4159,m/burn_your_maps,Q20735768,Burn Your Maps,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4160,m/burning-palms,Q874932,Burning Palms,,,,,5000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,2500000.0,,,,,16666666.666666666,,
4161,m/burning_2018,Q27964354,Burning,,,,,,,,,,718991.0,Q4917,,,,,50% of production budget (heuristic),0.45,,323545.95,,,,,,
4162,m/burning_annie,Q4999812,Burning Annie,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4163,m/burning_blue,Q19843189,Burning Blue,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4164,m/burning_dog,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4165,m/burning_man,Q4999868,Burning Man,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4166,m/burning_plain,Q759350,The Burning Plain,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4167,m/burning_sands_2017,Q28059087,Burning Sands,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4168,m/burnt,Q17634968,Burnt,,,,,20000000.0,Q4917,,,P2130,36606743.0,Q4917,,,,,50% of production budget (heuristic),0.45,10000000.0,16473034.35,-13526965.65,-0.450898855,1.83033715,66666666.666666664,-30059923.666666664,underperformer
4169,m/burnt_by_the_sun,Q1127167,Burnt by the Sun,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4170,m/burnt_offerings,Q1191134,Burnt Offerings,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4171,m/burton_and_taylor,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4172,m/burts_buzz,Q25646545,Burt's Buzz,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4173,m/burying_the_ex_2015,Q15596853,Burying the Ex,,,,,,,,,,604517.0,Q4917,,,,,50% of production budget (heuristic),0.45,,272032.65,,,,,,
4174,m/busco_novio_para_mi_mujer,Q22903403,Busco novio para mi mujer,,,,,,,,,,1133078.0,Q4917,,,,,50% of production budget (heuristic),0.45,,509885.10000000003,,,,,,
4175,m/bushwick_2017,Q22350719,Bushwick,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4176,m/business_of_being_born,Q7720750,The Business of Being Born,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4177,m/business_of_strangers,Q3520170,The Business of Strangers,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4178,m/busters_mal_heart,Q24259334,Buster's Mal Heart,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4179,m/bustin_loose,Q5002194,Bustin' Loose,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4180,m/but_im_a_cheerleader,Q1257599,But I'm a Cheerleader,,,,,1200000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,600000.0,,,,,4000000.0,,
4181,m/butcher_boy,Q14899273,The Butcher Boy,,,,,,,,,,1995911.0,Q4917,,,,,50% of production budget (heuristic),0.45,,898159.9500000001,,,,,,
4182,m/butcher_boys_2013,Q18340888,Butcher Boys,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4183,m/butchers_son,Q9019576,La Soga,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4184,m/butchers_wife,Q1195550,The Butcher's Wife,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4185,m/butt_boy,Q68609934,Butt Boy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4186,m/butter_2011,Q1018042,Butter,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4187,m/butterfield_8,Q652069,BUtterfield 8,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4188,m/butterflies_are_free,Q2608654,Butterflies Are Free,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4189,m/butterfly_effect,Q221109,The Butterfly Effect,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4190,m/butterfly_girl_2015,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4191,m/butterfly_kiss,Q1018100,Butterfly Kiss,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4192,m/bwoy,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4193,m/by_hook_or_by_crook_2002,Q5003794,By Hook or by Crook,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4194,m/by_the_grace_of_god_2019,Q60169300,By the Grace of God,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4195,m/by_the_gun,Q16250819,By the Gun,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4196,m/by_the_sea_2015,Q17986183,By the Sea,,,,,10000000.0,Q4917,,,P2130,3300000.0,Q4917,,,,,50% of production budget (heuristic),0.45,5000000.0,1485000.0,-13515000.0,-0.901,0.33,33333333.333333332,-30033333.333333332,bomb
4197,m/byzantium_2012,Q2081750,Byzantium,,,,,8000000.0,Q4917,,,P2130,828284.0,Q4917,,,,,50% of production budget (heuristic),0.45,4000000.0,372727.8,-11627272.2,-0.96893935,0.1035355,26666666.666666664,-25838382.666666664,bomb
4198,m/c_word_2016,Q24685990,The C Word,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4199,m/cabaret,Q918363,Cabaret,,,,,4600000.0,Q4917,,,P2130,41326446.0,Q4917,,,,,50% of production budget (heuristic),0.45,2300000.0,18596900.7,11696900.7,1.6952029999999998,8.98401,15333333.333333332,25993112.666666668,smash_hit
4200,m/cabaret_balkan,Q60021,Cabaret Balkan,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4201,m/cabin_boy,Q2724012,Cabin Boy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4202,m/cabin_fever_2016,Q22674100,Cabin Fever,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4203,m/cabin_fever_3_patient_zero,Q5015413,Cabin Fever: Patient Zero,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4204,m/cabin_in_the_sky,Q1024839,Cabin in the Sky,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4205,m/cabiria,Q1024861,Cabiria,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4206,m/cable_guy,Q824133,The Cable Guy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4207,m/cache_2005,Q383173,Caché,Q26705935,BBC's 100 Greatest Films of the 21st Century,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4208,m/cactus_flower,Q467262,Cactus Flower,,,,,3000000.0,Q4917,,,P2130,25889208.0,Q4917,,,,,50% of production budget (heuristic),0.45,1500000.0,11650143.6,7150143.6,1.5889208,8.629736,10000000.0,15889208.0,smash_hit
4209,m/caddyshack,Q311638,Caddyshack,,,,,6000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,3000000.0,,,,,20000000.0,,
4210,m/caddyshack_2,Q1025096,Caddyshack II,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4211,m/cadence,Q1305472,Cadence,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4212,m/cadillac_records,Q149431,Cadillac Records,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4213,m/caesar_must_die_2012,Q1059540,Caesar Must Die,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4214,m/cafe_de_flore,Q1058682,Café de Flore,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4215,m/cafe_society_2016,Q20950014,Café Society,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4216,m/caffeine,Q5017167,Caffeine,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4217,m/caine_mutiny,Q5435430,The Caine Mutiny,,,,,2000000.0,Q4917,,,P2130,21750000.0,Q4917,,,,,50% of production budget (heuristic),0.45,1000000.0,9787500.0,6787500.0,2.2625,10.875,6666666.666666666,15083333.333333334,smash_hit
4218,m/cairo_time,Q1025973,Cairo Time,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4219,m/cake_2015,Q16060473,Cake,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4220,m/calendar_girls,Q83789,Calendar Girls,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4221,m/calibre,Q30131445,Calibre,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4222,m/california_dreamin,Q2933985,California Dreamin',,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4223,m/california_solo,Q5020977,California Solo,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4224,m/california_split,Q1089719,California Split,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4225,m/california_suite,Q1171692,California Suite,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4226,m/california_typewriter_2017,Q26863800,California Typewriter,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4227,m/call_me_by_your_name,Q25136757,Call Me by Your Name,,,,,3500000.0,Q4917,,,P2130,18095701.0,Q4917,,,,,50% of production budget (heuristic),0.45,1750000.0,8143065.45,2893065.45,0.5510600857142858,5.1702002857142855,11666666.666666666,6429034.333333334,hit
4228,m/call_me_kuchu_2011,Q5021553,Call Me Kuchu,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4229,m/call_me_lucky,Q30610137,Call Me Lucky,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4230,m/call_northside_777,Q2715975,Call Northside 777,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4231,m/callas_forever,Q302403,Callas Forever,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4232,m/calle_54,Q2630071,Calle 54,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4233,m/calling_all_earthlings,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4234,m/calvary_2013,Q5024134,Calvary,,,,,,,,,,3600006.0,Q4917,,,,,50% of production budget (heuristic),0.45,,1620002.7,,,,,,
4235,m/calvin_marshall,Q5024461,Calvin Marshall,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4236,m/cam,Q55606479,Cam,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4237,m/cam2cam,Q18169953,Cam2Cam,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4238,m/cameraman_the_life_and_work_of_jack_cardiff,Q5026023,Cameraman: The Life and Work of Jack Cardiff,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4239,m/cameraperson,Q24631947,Cameraperson,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4240,m/camilla,Q4211572,Camilla,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4241,m/camille_claudel,Q1029155,Camille Claudel,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4242,m/camille_claudel_1915_2013,Q4348385,"Camille Claudel, 1915",,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4243,m/camino_2016,Q52151481,Camino,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4244,m/camp,Q5026942,Camp,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4245,m/camp-rock-2,Q276279,Camp Rock 2: The Final Jam,Q12478211,Camp Rock,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4246,m/camp_cold_brook,Q37446825,Camp Cold Brook,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4247,m/camp_nowhere,Q1406309,Camp Nowhere,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4248,m/camp_rock,Q217250,Camp Rock,Q12478211,Camp Rock,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4249,m/camp_x_ray,Q14944045,Camp X-Ray,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4250,m/campfire_2004,Q5028336,Campfire,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4251,m/can_we_take_a_joke_2016,Q65032558,Can We Take A Joke?,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4252,m/can_you_keep_a_secret,Q66455732,Can You Keep a Secret?,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4253,m/canadian_bacon,Q180008,Canadian Bacon,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4254,m/canary_2018,Q66796021,Canary,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4255,m/candidate,Q500672,The Candidate,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4256,m/candy,Q280928,Candy,,,,,,,,,,1630587.0,Q259502,,2006-01-01T00:00:00Z,,,50% of production budget (heuristic),0.45,,733764.15,,,,,,
4257,m/candy_corn,Q104857490,Candy Corn,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4258,m/candy_jar,Q52715755,Candy Jar,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4259,m/candyman,Q1033108,Candyman,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4260,m/candyman_farewell_to_the_flesh,Q1033094,Candyman: Farewell to the Flesh,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4261,m/cane_river,Q18914893,Cane River,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4262,m/caniba,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4263,m/cannery_row,Q2936413,Cannery Row,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4264,m/cannes_man,Q834352,Cannes Man,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4265,m/cannibal_2014,Q15725568,Cannibal,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4266,m/cannibal_ferox,Q861445,Cannibal Ferox,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4267,m/cannibal_holocaust,Q832093,Cannibal Holocaust,Q3998798,Cannibal Trilogy,,,100000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,50000.0,,,,,333333.3333333333,,
4268,m/cannibal_the_musical,Q779121,Cannibal! The Musical,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4269,m/cannonball_run_2,Q646806,Cannonball Run II,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4270,m/canoa,Q2893808,Canoa: A Shameful Memory,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4271,m/canopy,Q16972185,Canopy,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4272,m/cant_buy_me_love,Q1034060,Can't Buy Me Love,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4273,m/cant_hardly_wait,Q1632425,Can't Hardly Wait,,,,,10000000.0,Q4917,,,P2130,25605015.0,Q4917,,,,,50% of production budget (heuristic),0.45,5000000.0,11522256.75,-3477743.25,-0.23184955,2.5605015,33333333.333333332,-7728318.333333332,underperformer
4274,m/cant_stand_losing_you,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4275,m/cant_stop_the_music,Q1755578,Can't Stop the Music,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4276,m/cant_stop_wont_stop_a_bad_boy_story,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4277,m/cant_think_straight,Q2983171,I Can't Think Straight,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4278,m/cantinflas,Q17274414,Cantinflas,,,,,3000000.0,Q4917,,,P2130,17800000.0,Q4917,,,,,50% of production budget (heuristic),0.45,1500000.0,8010000.0,3510000.0,0.78,5.933333333333334,10000000.0,7800000.0,hit
4279,m/capernaum,Q51803319,Capernaum,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4280,m/capital_2013,Q3220821,Le Capital,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4281,m/capital_in_the_twenty_first_century,Q67367560,Capital in the Twenty-First Century,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4282,m/capitalism_a_love_story,Q754855,Capitalism: A Love Story,,,,,20000000.0,Q4917,,,P2130,17436509.0,Q4917,,,,,50% of production budget (heuristic),0.45,10000000.0,7846429.05,-22153570.95,-0.738452365,0.87182545,66666666.666666664,-49230157.666666664,bomb
4283,m/capone_2020,,,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4284,m/capricorn_one,Q609467,Capricorn One,,,,,5000000.0,Q4917,,,P2130,12000000.0,Q4917,,,,,50% of production budget (heuristic),0.45,2500000.0,5400000.0,-2100000.0,-0.28,2.4,16666666.666666666,-4666666.666666666,underperformer
4285,m/captain_abu_raed,Q1766463,Captain Abu Raed,,,,,,,,,,,,,,,,50% of production budget (heuristic),0.45,,,,,,,,
4286,m/captain_america_1990,Q1035093,Captain America,,,,,10000000.0,Q4917,,,P2130,,,,,,,50% of production budget (heuristic),0.45,5000000.0,,,,,33333333.333333332,,
